model,disease,auroc_baseline,auroc_resid_hf,auroc_resid_af,auroc_resid_age,auroc_resid_simultaneous,drop_hf,drop_af,drop_age,drop_simultaneous,sum_individual,redundancy,redundancy_pct
ResNet50-ImageNet,Atelectasis,0.645214,0.635632,0.634763,0.637670,0.630275,0.009582,0.010451,0.007544,0.014939,0.027577,0.012638,45.827137
ResNet50-ImageNet,Cardiomegaly,0.785237,0.712444,0.732880,0.750831,0.696590,0.072792,0.052356,0.034405,0.088646,0.159553,0.070907,44.441130
ResNet50-ImageNet,Consolidation,0.826050,0.820566,0.817525,0.819461,0.814666,0.005484,0.008525,0.006589,0.011384,0.020598,0.009215,44.734684
ResNet50-ImageNet,Edema,0.867714,0.834650,0.850514,0.854840,0.831774,0.033064,0.017200,0.012874,0.035940,0.063138,0.027198,43.076422
ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.672697,0.680352,0.679301,0.659818,0.031083,0.023427,0.024479,0.043961,0.078989,0.035028,44.345041
ResNet50-ImageNet,Lung Opacity,0.647063,0.638792,0.638363,0.629401,0.626694,0.008272,0.008700,0.017662,0.020369,0.034634,0.014265,41.187107
ResNet50-ImageNet,Pleural Effusion,0.849999,0.834095,0.829276,0.827842,0.817134,0.015904,0.020723,0.022157,0.032866,0.058784,0.025918,44.090893
ResNet50-ImageNet,Pneumonia,0.723065,0.718343,0.720906,0.720339,0.717736,0.004722,0.002159,0.002726,0.005329,0.009607,0.004278,44.529268
ResNet50-ImageNet,Pneumothorax,0.676774,0.675570,0.676877,0.683135,0.681321,0.001204,-0.000103,-0.006361,-0.004546,-0.005260,-0.000713,0.000000
ResNet50-ImageNet,Support Devices,0.699298,0.692969,0.691587,0.692475,0.688213,0.006329,0.007711,0.006823,0.011085,0.020863,0.009778,46.866416
DINOv2-base,Atelectasis,0.696113,0.683254,0.681867,0.681226,0.674648,0.012859,0.014245,0.014887,0.021465,0.041991,0.020526,48.882569
DINOv2-base,Cardiomegaly,0.813224,0.745246,0.763941,0.779684,0.728687,0.067979,0.049283,0.033540,0.084537,0.150802,0.066265,43.941867
DINOv2-base,Consolidation,0.882760,0.877058,0.874074,0.876665,0.870982,0.005702,0.008687,0.006096,0.011779,0.020484,0.008705,42.498181
DINOv2-base,Edema,0.889433,0.859859,0.873930,0.877438,0.857177,0.029574,0.015503,0.011996,0.032256,0.057073,0.024816,43.481989
DINOv2-base,Enlarged Cardiomediastinum,0.773702,0.748690,0.757328,0.746289,0.733429,0.025012,0.016374,0.027413,0.040273,0.068799,0.028525,41.462108
DINOv2-base,Lung Opacity,0.718800,0.709521,0.708776,0.697509,0.693764,0.009279,0.010024,0.021291,0.025035,0.040593,0.015558,38.326353
DINOv2-base,Pleural Effusion,0.883672,0.870947,0.867166,0.864931,0.856334,0.012725,0.016507,0.018742,0.027338,0.047973,0.020635,43.013036
DINOv2-base,Pneumonia,0.745943,0.742539,0.743895,0.743265,0.741228,0.003404,0.002048,0.002678,0.004715,0.008131,0.003415,42.005000
DINOv2-base,Pneumothorax,0.702207,0.699564,0.702217,0.704812,0.702405,0.002643,-0.000010,-0.002605,-0.000198,0.000028,0.000226,798.697068
DINOv2-base,Support Devices,0.745245,0.741475,0.736370,0.739303,0.735598,0.003770,0.008875,0.005942,0.009647,0.018587,0.008940,48.099678
BiomedCLIP,Atelectasis,0.707465,0.693615,0.693214,0.692415,0.682143,0.013850,0.014251,0.015050,0.025322,0.043151,0.017829,41.317717
BiomedCLIP,Cardiomegaly,0.846561,0.780763,0.797862,0.812442,0.762754,0.065799,0.048699,0.034119,0.083807,0.148617,0.064810,43.608828
BiomedCLIP,Consolidation,0.899835,0.892697,0.890630,0.893431,0.886921,0.007137,0.009205,0.006404,0.012914,0.022746,0.009833,43.227836
BiomedCLIP,Edema,0.889124,0.858625,0.873955,0.877116,0.856464,0.030498,0.015169,0.012007,0.032660,0.057675,0.025015,43.372387
BiomedCLIP,Enlarged Cardiomediastinum,0.796689,0.772625,0.779298,0.770610,0.758667,0.024064,0.017391,0.026079,0.038022,0.067534,0.029512,43.699008
BiomedCLIP,Lung Opacity,0.757180,0.745284,0.746675,0.735973,0.732818,0.011895,0.010505,0.021206,0.024361,0.043606,0.019245,44.133105
BiomedCLIP,Pleural Effusion,0.890088,0.873791,0.870844,0.867959,0.857272,0.016297,0.019243,0.022129,0.032815,0.057669,0.024854,43.097041
BiomedCLIP,Pneumonia,0.770744,0.766100,0.766744,0.765512,0.763430,0.004644,0.004000,0.005232,0.007314,0.013877,0.006563,47.293642
BiomedCLIP,Pneumothorax,0.699315,0.698035,0.699609,0.703850,0.701681,0.001280,-0.000294,-0.004535,-0.002366,-0.003549,-0.001183,0.000000
BiomedCLIP,Support Devices,0.762927,0.760130,0.752487,0.758562,0.755640,0.002796,0.010440,0.004365,0.007286,0.017601,0.010314,58.602252
XRV-DenseNet-nih,Atelectasis,0.659998,0.645241,0.646465,0.647677,0.638053,0.014758,0.013533,0.012321,0.021945,0.040611,0.018666,45.962041
XRV-DenseNet-nih,Cardiomegaly,0.804893,0.744977,0.762447,0.774847,0.731022,0.059916,0.042447,0.030046,0.073871,0.132409,0.058538,44.209931
XRV-DenseNet-nih,Consolidation,0.791057,0.787889,0.779519,0.782961,0.778719,0.003167,0.011537,0.008096,0.012338,0.022800,0.010463,45.888172
XRV-DenseNet-nih,Edema,0.830900,0.799869,0.813701,0.819047,0.796401,0.031031,0.017199,0.011853,0.034499,0.060083,0.025584,42.581091
XRV-DenseNet-nih,Enlarged Cardiomediastinum,0.767205,0.744845,0.748626,0.747267,0.732292,0.022360,0.018579,0.019938,0.034913,0.060877,0.025964,42.649978
XRV-DenseNet-nih,Lung Opacity,0.667383,0.655765,0.653751,0.647074,0.640426,0.011618,0.013632,0.020310,0.026958,0.045560,0.018602,40.830126
XRV-DenseNet-nih,Pleural Effusion,0.794450,0.775884,0.769372,0.766558,0.754432,0.018567,0.025078,0.027892,0.040018,0.071537,0.031519,44.059624
XRV-DenseNet-nih,Pneumonia,0.703264,0.696796,0.699422,0.698522,0.694305,0.006468,0.003842,0.004742,0.008959,0.015051,0.006093,40.480831
XRV-DenseNet-nih,Pneumothorax,0.630243,0.619878,0.628159,0.629471,0.622945,0.010366,0.002084,0.000772,0.007298,0.013222,0.005924,44.804873
XRV-DenseNet-nih,Support Devices,0.679896,0.674056,0.672526,0.672946,0.669359,0.005839,0.007369,0.006950,0.010537,0.020158,0.009622,47.730118
