model,strategy,n_attrs_removed,disease,dimension,overall_auroc,auroc_gap,auroc_Female,auroc_Male,auroc_<50,auroc_50-70,auroc_70+,gap_baseline,auroc_baseline,gap_reduction,gap_reduction_pct,auroc_cost
ResNet50-ImageNet,top3,3,Atelectasis,Gender,0.630275,0.046079,0.606187,0.652266,,,,0.033481,0.645214,-0.012598,-37.628246,0.014939
ResNet50-ImageNet,top3,3,Atelectasis,Age,0.630275,0.105275,,,0.681398,0.647593,0.576123,0.092425,0.645214,-0.012850,-13.903692,0.014939
ResNet50-ImageNet,top3,3,Cardiomegaly,Gender,0.696590,0.000934,0.696402,0.697336,,,,0.004155,0.785237,0.003221,77.517997,0.088646
ResNet50-ImageNet,top3,3,Cardiomegaly,Age,0.696590,0.063886,,,0.746864,0.703014,0.682978,0.065851,0.785237,0.001965,2.984446,0.088646
ResNet50-ImageNet,top3,3,Consolidation,Gender,0.814666,0.002664,0.815560,0.812896,,,,0.001848,0.826050,-0.000815,-44.113566,0.011384
ResNet50-ImageNet,top3,3,Consolidation,Age,0.814666,0.033581,,,0.796268,0.829849,0.815760,0.026781,0.826050,-0.006800,-25.390977,0.011384
ResNet50-ImageNet,top3,3,Edema,Gender,0.831774,0.005258,0.828716,0.833973,,,,0.004868,0.867714,-0.000390,-8.012543,0.035940
ResNet50-ImageNet,top3,3,Edema,Age,0.831774,0.036949,,,0.835434,0.853525,0.816576,0.037215,0.867714,0.000265,0.713018,0.035940
ResNet50-ImageNet,top3,3,Enlarged Cardiomediastinum,Gender,0.659818,0.055550,0.691744,0.636194,,,,0.046489,0.703780,-0.009061,-19.490444,0.043961
ResNet50-ImageNet,top3,3,Enlarged Cardiomediastinum,Age,0.659818,0.092994,,,0.640172,0.702196,0.609203,0.074388,0.703780,-0.018606,-25.011904,0.043961
ResNet50-ImageNet,top3,3,Lung Opacity,Gender,0.626694,0.001851,0.625558,0.627409,,,,0.006484,0.647063,0.004632,71.444684,0.020369
ResNet50-ImageNet,top3,3,Lung Opacity,Age,0.626694,0.039127,,,0.622938,0.649877,0.610750,0.039302,0.647063,0.000175,0.445131,0.020369
ResNet50-ImageNet,top3,3,Pleural Effusion,Gender,0.817134,0.009099,0.822471,0.813372,,,,0.025039,0.849999,0.015940,63.660013,0.032866
ResNet50-ImageNet,top3,3,Pleural Effusion,Age,0.817134,0.032641,,,0.823795,0.837474,0.804833,0.032175,0.849999,-0.000466,-1.448451,0.032866
ResNet50-ImageNet,top3,3,Pneumonia,Gender,0.717736,0.008704,0.713081,0.721785,,,,0.012886,0.723065,0.004181,32.450795,0.005329
ResNet50-ImageNet,top3,3,Pneumonia,Age,0.717736,0.018226,,,0.721344,0.725227,0.707000,0.021533,0.723065,0.003307,15.355784,0.005329
ResNet50-ImageNet,top3,3,Pneumothorax,Gender,0.681321,0.050325,0.711017,0.660692,,,,0.049284,0.676774,-0.001041,-2.112137,-0.004546
ResNet50-ImageNet,top3,3,Pneumothorax,Age,0.681321,0.021516,,,0.694879,0.673363,0.675082,0.023778,0.676774,0.002262,9.513161,-0.004546
ResNet50-ImageNet,top3,3,Support Devices,Gender,0.688213,0.016309,0.678779,0.695088,,,,0.017043,0.699298,0.000735,4.310098,0.011085
ResNet50-ImageNet,top3,3,Support Devices,Age,0.688213,0.069885,,,0.732984,0.686135,0.663100,0.071400,0.699298,0.001516,2.122888,0.011085
ResNet50-ImageNet,all_confounders,9,Atelectasis,Gender,0.627356,0.039981,0.606413,0.646394,,,,0.033481,0.645214,-0.006500,-19.413816,0.017858
ResNet50-ImageNet,all_confounders,9,Atelectasis,Age,0.627356,0.113862,,,0.683646,0.644971,0.569785,0.092425,0.645214,-0.021437,-23.193957,0.017858
ResNet50-ImageNet,all_confounders,9,Cardiomegaly,Gender,0.694352,0.001405,0.694131,0.695536,,,,0.004155,0.785237,0.002750,66.193860,0.090884
ResNet50-ImageNet,all_confounders,9,Cardiomegaly,Age,0.694352,0.056944,,,0.739828,0.699041,0.682884,0.065851,0.785237,0.008907,13.526575,0.090884
ResNet50-ImageNet,all_confounders,9,Consolidation,Gender,0.799717,0.004950,0.801637,0.796687,,,,0.001848,0.826050,-0.003101,-167.797306,0.026333
ResNet50-ImageNet,all_confounders,9,Consolidation,Age,0.799717,0.047130,,,0.770789,0.817919,0.800635,0.026781,0.826050,-0.020349,-75.982393,0.026333
ResNet50-ImageNet,all_confounders,9,Edema,Gender,0.828409,0.008966,0.823351,0.832317,,,,0.004868,0.867714,-0.004098,-84.197483,0.039305
ResNet50-ImageNet,all_confounders,9,Edema,Age,0.828409,0.032192,,,0.829391,0.847060,0.814867,0.037215,0.867714,0.005022,13.495511,0.039305
ResNet50-ImageNet,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.655559,0.057008,0.688481,0.631473,,,,0.046489,0.703780,-0.010519,-22.627580,0.048221
ResNet50-ImageNet,all_confounders,9,Enlarged Cardiomediastinum,Age,0.655559,0.093042,,,0.633368,0.698439,0.605397,0.074388,0.703780,-0.018654,-25.076738,0.048221
ResNet50-ImageNet,all_confounders,9,Lung Opacity,Gender,0.622926,0.009568,0.617259,0.626827,,,,0.006484,0.647063,-0.003084,-47.563004,0.024137
ResNet50-ImageNet,all_confounders,9,Lung Opacity,Age,0.622926,0.033155,,,0.609762,0.642917,0.613957,0.039302,0.647063,0.006147,15.641001,0.024137
ResNet50-ImageNet,all_confounders,9,Pleural Effusion,Gender,0.810054,0.013027,0.817529,0.804502,,,,0.025039,0.849999,0.012013,47.974846,0.039945
