model,strategy,n_attrs_removed,disease,dimension,overall_auroc,auroc_gap,auroc_Female,auroc_Male,auroc_<50,auroc_50-70,auroc_70+
ResNet50-ImageNet,baseline,0,Atelectasis,Gender,0.645214,0.033481,0.627888,0.661369,,,
ResNet50-ImageNet,baseline,0,Atelectasis,Age,0.645214,0.092425,,,0.681398,0.659409,0.588973
ResNet50-ImageNet,baseline,0,Cardiomegaly,Gender,0.785237,0.004155,0.787622,0.783466,,,
ResNet50-ImageNet,baseline,0,Cardiomegaly,Age,0.785237,0.065851,,,0.809086,0.777534,0.743235
ResNet50-ImageNet,baseline,0,Consolidation,Gender,0.826050,0.001848,0.826081,0.824233,,,
ResNet50-ImageNet,baseline,0,Consolidation,Age,0.826050,0.026781,,,0.806492,0.833273,0.821946
ResNet50-ImageNet,baseline,0,Edema,Gender,0.867714,0.004868,0.870231,0.865364,,,
ResNet50-ImageNet,baseline,0,Edema,Age,0.867714,0.037215,,,0.874919,0.880162,0.842948
ResNet50-ImageNet,baseline,0,Enlarged Cardiomediastinum,Gender,0.703780,0.046489,0.729747,0.683258,,,
ResNet50-ImageNet,baseline,0,Enlarged Cardiomediastinum,Age,0.703780,0.074388,,,0.660620,0.725938,0.651550
ResNet50-ImageNet,baseline,0,Lung Opacity,Gender,0.647063,0.006484,0.650709,0.644226,,,
ResNet50-ImageNet,baseline,0,Lung Opacity,Age,0.647063,0.039302,,,0.639332,0.657246,0.617944
ResNet50-ImageNet,baseline,0,Pleural Effusion,Gender,0.849999,0.025039,0.863855,0.838815,,,
ResNet50-ImageNet,baseline,0,Pleural Effusion,Age,0.849999,0.032175,,,0.854596,0.850291,0.822421
ResNet50-ImageNet,baseline,0,Pneumonia,Gender,0.723065,0.012886,0.716227,0.729113,,,
ResNet50-ImageNet,baseline,0,Pneumonia,Age,0.723065,0.021533,,,0.721993,0.731376,0.709843
ResNet50-ImageNet,baseline,0,Pneumothorax,Gender,0.676774,0.049284,0.705903,0.656619,,,
ResNet50-ImageNet,baseline,0,Pneumothorax,Age,0.676774,0.023778,,,0.695735,0.671956,0.673127
ResNet50-ImageNet,baseline,0,Support Devices,Gender,0.699298,0.017043,0.689392,0.706435,,,
ResNet50-ImageNet,baseline,0,Support Devices,Age,0.699298,0.071400,,,0.739489,0.694443,0.668088
ResNet50-ImageNet,top3,3,Atelectasis,Gender,0.630275,0.046079,0.606187,0.652266,,,
ResNet50-ImageNet,top3,3,Atelectasis,Age,0.630275,0.105275,,,0.681398,0.647593,0.576123
ResNet50-ImageNet,top3,3,Cardiomegaly,Gender,0.696590,0.000934,0.696402,0.697336,,,
ResNet50-ImageNet,top3,3,Cardiomegaly,Age,0.696590,0.063886,,,0.746864,0.703014,0.682978
ResNet50-ImageNet,top3,3,Consolidation,Gender,0.814666,0.002664,0.815560,0.812896,,,
ResNet50-ImageNet,top3,3,Consolidation,Age,0.814666,0.033581,,,0.796268,0.829849,0.815760
ResNet50-ImageNet,top3,3,Edema,Gender,0.831774,0.005258,0.828716,0.833973,,,
ResNet50-ImageNet,top3,3,Edema,Age,0.831774,0.036949,,,0.835434,0.853525,0.816576
ResNet50-ImageNet,top3,3,Enlarged Cardiomediastinum,Gender,0.659818,0.055550,0.691744,0.636194,,,
ResNet50-ImageNet,top3,3,Enlarged Cardiomediastinum,Age,0.659818,0.092994,,,0.640172,0.702196,0.609203
ResNet50-ImageNet,top3,3,Lung Opacity,Gender,0.626694,0.001851,0.625558,0.627409,,,
ResNet50-ImageNet,top3,3,Lung Opacity,Age,0.626694,0.039127,,,0.622938,0.649877,0.610750
ResNet50-ImageNet,top3,3,Pleural Effusion,Gender,0.817134,0.009099,0.822471,0.813372,,,
ResNet50-ImageNet,top3,3,Pleural Effusion,Age,0.817134,0.032641,,,0.823795,0.837474,0.804833
ResNet50-ImageNet,top3,3,Pneumonia,Gender,0.717736,0.008704,0.713081,0.721785,,,
ResNet50-ImageNet,top3,3,Pneumonia,Age,0.717736,0.018226,,,0.721344,0.725227,0.707000
ResNet50-ImageNet,top3,3,Pneumothorax,Gender,0.681321,0.050325,0.711017,0.660692,,,
ResNet50-ImageNet,top3,3,Pneumothorax,Age,0.681321,0.021516,,,0.694879,0.673363,0.675082
ResNet50-ImageNet,top3,3,Support Devices,Gender,0.688213,0.016309,0.678779,0.695088,,,
ResNet50-ImageNet,top3,3,Support Devices,Age,0.688213,0.069885,,,0.732984,0.686135,0.663100
ResNet50-ImageNet,all_confounders,9,Atelectasis,Gender,0.627356,0.039981,0.606413,0.646394,,,
ResNet50-ImageNet,all_confounders,9,Atelectasis,Age,0.627356,0.113862,,,0.683646,0.644971,0.569785
ResNet50-ImageNet,all_confounders,9,Cardiomegaly,Gender,0.694352,0.001405,0.694131,0.695536,,,
ResNet50-ImageNet,all_confounders,9,Cardiomegaly,Age,0.694352,0.056944,,,0.739828,0.699041,0.682884
ResNet50-ImageNet,all_confounders,9,Consolidation,Gender,0.799717,0.004950,0.801637,0.796687,,,
ResNet50-ImageNet,all_confounders,9,Consolidation,Age,0.799717,0.047130,,,0.770789,0.817919,0.800635
ResNet50-ImageNet,all_confounders,9,Edema,Gender,0.828409,0.008966,0.823351,0.832317,,,
ResNet50-ImageNet,all_confounders,9,Edema,Age,0.828409,0.032192,,,0.829391,0.847060,0.814867
ResNet50-ImageNet,all_confounders,9,Enlarged Cardiomediastinum,Gender,0.655559,0.057008,0.688481,0.631473,,,
ResNet50-ImageNet,all_confounders,9,Enlarged Cardiomediastinum,Age,0.655559,0.093042,,,0.633368,0.698439,0.605397
ResNet50-ImageNet,all_confounders,9,Lung Opacity,Gender,0.622926,0.009568,0.617259,0.626827,,,
ResNet50-ImageNet,all_confounders,9,Lung Opacity,Age,0.622926,0.033155,,,0.609762,0.642917,0.613957
ResNet50-ImageNet,all_confounders,9,Pleural Effusion,Gender,0.810054,0.013027,0.817529,0.804502,,,
ResNet50-ImageNet,all_confounders,9,Pleural Effusion,Age,0.810054,0.035693,,,0.812538,0.830771,0.795078
ResNet50-ImageNet,all_confounders,9,Pneumonia,Gender,0.709027,0.012135,0.702529,0.714663,,,
ResNet50-ImageNet,all_confounders,9,Pneumonia,Age,0.709027,0.018858,,,0.716121,0.715386,0.697263
ResNet50-ImageNet,all_confounders,9,Pneumothorax,Gender,0.678969,0.048704,0.707576,0.658872,,,
ResNet50-ImageNet,all_confounders,9,Pneumothorax,Age,0.678969,0.023427,,,0.693766,0.670339,0.672750
ResNet50-ImageNet,all_confounders,9,Support Devices,Gender,0.680105,0.013091,0.672531,0.685622,,,
