model,attribute,decode_auroc_X,decode_auroc_Xres
ResNet50-ImageNet,sex,0.9405107077978604,0.9879294631454568
ResNet50-ImageNet,race_black_vs_white,0.8263408020584943,0.9495298020318345
DINOv2-base,sex,0.9742942421252618,0.9917991461284601
DINOv2-base,race_black_vs_white,0.8980883225102559,0.9622636474538766
BiomedCLIP,sex,0.9041213495048066,0.8862751333704944
BiomedCLIP,race_black_vs_white,0.7434619784673425,0.7770529110257215
CLIP-ViT-B16,sex,0.9348573633208467,0.9768372206011675
CLIP-ViT-B16,race_black_vs_white,0.8249675527883674,0.8900993627988238
ConvNeXtV2-Base,sex,0.96159695646977,0.995778156928832
ConvNeXtV2-Base,race_black_vs_white,0.8619168129337818,0.9778197934681105
