model,attribute,disease,linear_drop,mlp_drop
ResNet50-ImageNet,age,Atelectasis,0.006955677383946424,0.007096805321850197
ResNet50-ImageNet,age,Cardiomegaly,0.0344096678548822,0.031464461804977195
ResNet50-ImageNet,age,Consolidation,0.006542211623256411,0.005026890735427392
ResNet50-ImageNet,age,Edema,0.012860455194279474,0.01323226857164539
ResNet50-ImageNet,age,Enlarged Cardiomediastinum,0.024273241672427615,0.021493714314975487
ResNet50-ImageNet,age,Lung Opacity,0.017362117852726677,0.014608205773248617
ResNet50-ImageNet,age,Pleural Effusion,0.022172619703726526,0.021744487452362793
ResNet50-ImageNet,age,Pneumonia,0.0026578849740563903,0.0015936683848439825
ResNet50-ImageNet,age,Pneumothorax,-0.006340840911828516,-0.005851106036816378
ResNet50-ImageNet,age,Support Devices,0.006861961641991932,0.006076680966801251
ResNet50-ImageNet,bmi,Atelectasis,-0.00016408929492817137,0.00017547121133942856
ResNet50-ImageNet,bmi,Cardiomegaly,0.010857507322937221,0.008275228672508073
ResNet50-ImageNet,bmi,Consolidation,0.007885446486437298,0.008636131221646082
ResNet50-ImageNet,bmi,Edema,-0.00024248518351188686,7.287806061817559e-05
ResNet50-ImageNet,bmi,Enlarged Cardiomediastinum,0.0019176761715963275,0.001553215513761974
ResNet50-ImageNet,bmi,Lung Opacity,0.002035134156542995,0.0024311024148713223
ResNet50-ImageNet,bmi,Pleural Effusion,0.001668922157265107,0.003043789625729487
ResNet50-ImageNet,bmi,Pneumonia,0.0038821052459110383,0.005436927139441883
ResNet50-ImageNet,bmi,Pneumothorax,0.013647920706744143,0.019559605479909203
ResNet50-ImageNet,bmi,Support Devices,0.00018415996974185944,0.0014429749527871127
DINOv2-base,age,Atelectasis,0.015355202132599999,0.014015692944206237
DINOv2-base,age,Cardiomegaly,0.03352567804170237,0.03068897532139203
DINOv2-base,age,Consolidation,0.006215796599222445,0.006290817403832971
DINOv2-base,age,Edema,0.01197347444612007,0.012263362842032444
DINOv2-base,age,Enlarged Cardiomediastinum,0.027502368333461535,0.02470338223621904
