model,attribute,disease,mlp_dependence,linear_dependence,mlp_base_auroc,mlp_res_auroc
ResNet50-ImageNet,sex,Cardiomegaly,0.007978493899753025,-0.00022631851210253018,0.7686848690834452,0.7607063751836922
ResNet50-ImageNet,sex,Edema,0.0006890886290481513,0.00012321140273252595,0.8536224976953813,0.8529334090663332
ResNet50-ImageNet,sex,Pleural Effusion,-0.0003375193162287182,-0.0005678846765149181,0.8342125627844099,0.8345500821006386
ResNet50-ImageNet,sex,Pneumonia,0.004357004818196009,9.967646152486687e-05,0.7138396204579065,0.7094826156397105
ResNet50-ImageNet,sex,Pneumothorax,0.0027375018305153542,0.0005202396254128105,0.6433383661563525,0.6406008643258372
ResNet50-ImageNet,race_black_vs_white,Cardiomegaly,-0.0020589074259633744,-0.0008318870653664101,0.7595617381406897,0.7616206455666531
ResNet50-ImageNet,race_black_vs_white,Edema,0.002425002712967972,0.0007973087357568964,0.8499425718936516,0.8475175691806837
ResNet50-ImageNet,race_black_vs_white,Pleural Effusion,0.004038193632146636,0.0043160785454300354,0.8187031826621733,0.8146649890300267
ResNet50-ImageNet,race_black_vs_white,Pneumonia,-0.0012558505704979295,0.0013732214625168382,0.711949543098304,0.713205393668802
ResNet50-ImageNet,race_black_vs_white,Pneumothorax,0.003905728443311385,-0.0004922021999912429,0.6650772001819623,0.6611714717386509
DINOv2-base,sex,Cardiomegaly,0.0024225276972676957,-2.3713414252224396e-06,0.7922032838798755,0.7897807561826078
DINOv2-base,sex,Edema,0.0015280687590304431,-6.390266346312234e-05,0.8822047749954828,0.8806767062364523
DINOv2-base,sex,Pleural Effusion,0.007068349403819396,-0.000399658370318301,0.8769519862380982,0.8698836368342788
DINOv2-base,sex,Pneumonia,0.0006472617501568356,0.0001391774462775608,0.7406438106114891,0.7399965488613323
DINOv2-base,sex,Pneumothorax,-0.0011324542988612185,0.0010595562397467395,0.6812306113972199,0.6823630656960811
DINOv2-base,race_black_vs_white,Cardiomegaly,0.001850761515375443,-0.000550295818831481,0.7910453199952772,0.7891945584799017
DINOv2-base,race_black_vs_white,Edema,0.001637851329354234,0.00041297883884949815,0.8863356701030928,0.8846978187737385
DINOv2-base,race_black_vs_white,Pleural Effusion,0.003989845661644287,0.003307220371061126,0.8714531789739017,0.8674633333122574
DINOv2-base,race_black_vs_white,Pneumonia,-0.001972837535678673,0.0008889991300534694,0.7324588932266389,0.7344317307623176
DINOv2-base,race_black_vs_white,Pneumothorax,0.001957578270895044,-0.0004981640857940617,0.6806848626194335,0.6787272843485385
