disease,race_group,n,n_pos,prevalence
Atelectasis,White,5340,5179,0.9698501825332642
Atelectasis,Black,826,789,0.9552057981491089
Atelectasis,Asian,197,192,0.9746192693710327
Atelectasis,Other,620,602,0.9709677696228027
Cardiomegaly,White,6459,4779,0.7398977875709534
Cardiomegaly,Black,1333,1039,0.7794448733329773
Cardiomegaly,Asian,281,194,0.690391480922699
Cardiomegaly,Other,748,529,0.7072192430496216
Consolidation,White,1925,1217,0.6322078108787537
Consolidation,Black,419,200,0.4773269593715668
Consolidation,Asian,106,72,0.6792452931404114
Consolidation,Other,236,113,0.4788135588169098
Edema,White,5718,3131,0.5475690960884094
Edema,Black,1093,555,0.5077767372131348
Edema,Asian,228,117,0.5131579041481018
Edema,Other,685,319,0.4656934440135956
Enlarged Cardiomediastinum,White,1346,816,0.6062406897544861
Enlarged Cardiomediastinum,Black,223,120,0.5381165742874146
Enlarged Cardiomediastinum,Asian,71,50,0.7042253613471985
Enlarged Cardiomediastinum,Other,194,106,0.5463917255401611
Lung Opacity,White,5827,5535,0.9498884677886963
Lung Opacity,Black,1098,1018,0.9271402359008789
Lung Opacity,Asian,293,278,0.9488054513931274
Lung Opacity,Other,681,628,0.922173261642456
Pleural Effusion,White,9135,6451,0.706184983253479
Pleural Effusion,Black,1390,804,0.5784172415733337
Pleural Effusion,Asian,387,266,0.6873385310173035
Pleural Effusion,Other,1046,635,0.6070745587348938
Pneumonia,White,3927,1635,0.4163483679294586
Pneumonia,Black,872,324,0.37155961990356445
Pneumonia,Asian,227,105,0.46255508065223694
Pneumonia,Other,541,205,0.37892791628837585
Pneumothorax,White,5861,1163,0.19843029975891113
Pneumothorax,Black,895,166,0.18547485768795013
Pneumothorax,Asian,289,61,0.2110726684331894
Pneumothorax,Other,653,100,0.15313935279846191
Support Devices,White,8281,7943,0.9591836929321289
Support Devices,Black,1188,1127,0.9486532211303711
Support Devices,Asian,359,340,0.9470751881599426
Support Devices,Other,878,825,0.9396355152130127
