model,disease,race_group,n,auroc,brier,mean_pred,prevalence,calib_gap
ResNet50-ImageNet,Atelectasis,White,5340,0.6182612773275735,0.03744242130594993,0.9651831892728833,0.9698501825332642,-0.004666993260380892
ResNet50-ImageNet,Atelectasis,Black,826,0.6362141609289897,0.0539612155830177,0.9566183839338779,0.9552057981491089,0.0014125857847689938
ResNet50-ImageNet,Atelectasis,Asian,197,0.47291666666666665,0.05015096746293565,0.9409211671835432,0.9746192693710327,-0.033698102187489476
ResNet50-ImageNet,Atelectasis,Other,620,0.7165928386858619,0.03578126490047053,0.9643118027225474,0.9709677696228027,-0.006655966900255383
ResNet50-ImageNet,Cardiomegaly,White,6459,0.781461802130352,0.1519848321031129,0.7520667603320507,0.7398977875709534,0.012168972761097296
ResNet50-ImageNet,Cardiomegaly,Black,1333,0.7795761230382432,0.13851894906488024,0.761551428851801,0.7794448733329773,-0.017893444481176246
ResNet50-ImageNet,Cardiomegaly,Asian,281,0.7512738476122763,0.18204479040844476,0.7139959281450736,0.690391480922699,0.023604447222374647
ResNet50-ImageNet,Cardiomegaly,Other,748,0.777351943444597,0.16289993387326465,0.7229069904044135,0.7072192430496216,0.015687747354791948
ResNet50-ImageNet,Consolidation,White,1925,0.8101390842536756,0.18188304216783865,0.6153497495023316,0.6322078108787537,-0.016858061376422095
ResNet50-ImageNet,Consolidation,Black,419,0.8183789954337899,0.178271606093297,0.4899961465707148,0.4773269593715668,0.012669187199148002
ResNet50-ImageNet,Consolidation,Asian,106,0.7753267973856209,0.20708915951312382,0.6055759797228348,0.6792452931404114,-0.07366931341757654
ResNet50-ImageNet,Consolidation,Other,236,0.8435858694870134,0.1699443909819597,0.48200683850017606,0.4788135588169098,0.00319327968326627
ResNet50-ImageNet,Edema,White,5718,0.8673569552798017,0.14697793121694894,0.5435932723233551,0.5475690960884094,-0.003975823765054343
ResNet50-ImageNet,Edema,Black,1093,0.8654543018855286,0.15076578194768353,0.5041981007142118,0.5077767372131348,-0.0035786364989229824
ResNet50-ImageNet,Edema,Asian,228,0.8205128205128205,0.18028537719740848,0.5160935996740628,0.5131579041481018,0.0029356955259609574
ResNet50-ImageNet,Edema,Other,685,0.8370077256453741,0.1720598513688419,0.485908934203951,0.4656934440135956,0.0202154901903554
ResNet50-ImageNet,Enlarged Cardiomediastinum,White,1346,0.6914354421013689,0.25952006591762455,0.5921053628833365,0.6062406897544861,-0.0141353268711496
ResNet50-ImageNet,Enlarged Cardiomediastinum,Black,223,0.6537216828478964,0.29461752943771313,0.5328576233566926,0.5381165742874146,-0.005258950930721928
ResNet50-ImageNet,Enlarged Cardiomediastinum,Asian,71,0.7352380952380952,0.21231367923858957,0.6838468348269785,0.7042253613471985,-0.020378526520219986
ResNet50-ImageNet,Enlarged Cardiomediastinum,Other,194,0.7021869639794168,0.2554528341967755,0.5648370998463936,0.5463917255401611,0.018445374306232498
ResNet50-ImageNet,Lung Opacity,White,5827,0.633322196235661,0.053894187889043786,0.9483647424830819,0.9498884677886963,-0.0015237253056143985
ResNet50-ImageNet,Lung Opacity,Black,1098,0.6523821218074657,0.06784175031841076,0.9474807854137742,0.9271402359008789,0.020340549512895323
ResNet50-ImageNet,Lung Opacity,Asian,293,0.767146282973621,0.045848307733397965,0.946897676917978,0.9488054513931274,-0.0019077744751494485
ResNet50-ImageNet,Lung Opacity,Other,681,0.6452649921884388,0.07908144777458319,0.9375808294477068,0.922173261642456,0.015407567805250766
ResNet50-ImageNet,Pleural Effusion,White,9135,0.8465887865904638,0.1372009456712236,0.7000410030989238,0.706184983253479,-0.006143980154555195
ResNet50-ImageNet,Pleural Effusion,Black,1390,0.830939160851035,0.16280739474400263,0.5890802395606152,0.5784172415733337,0.01066299798728143
