model,attribute,finding,auroc_drop,mcc_drop,mcc_base,auroc_base
ResNet50-ImageNet,heart_failure,Cardiomegaly,0.0727922579982454,0.10962386760155118,0.3965973620021633,0.7852365141234782
ResNet50-ImageNet,heart_failure,Edema,0.033063827040403226,0.06071844618725941,0.5818438419961032,0.8677141834700243
ResNet50-ImageNet,heart_failure,Pleural Effusion,0.01590392838577126,0.03432305437490224,0.5367690064205314,0.8499993386436221
ResNet50-ImageNet,heart_failure,Pneumonia,0.004721984677313884,0.0017730890322447679,0.3204303162122839,0.7230651793968408
ResNet50-ImageNet,heart_failure,Pneumothorax,0.0012043386049411797,0.005903598131578897,0.23174612570336886,0.6767743373764569
ResNet50-ImageNet,atrial_fibrillation,Cardiomegaly,0.05235603759721341,0.07560267317521951,0.3965973620021633,0.7852365141234782
ResNet50-ImageNet,atrial_fibrillation,Edema,0.017200417835074422,0.03226453075721669,0.5818438419961032,0.8677141834700243
ResNet50-ImageNet,atrial_fibrillation,Pleural Effusion,0.020723239423098172,0.04032133326564524,0.5367690064205314,0.8499993386436221
ResNet50-ImageNet,atrial_fibrillation,Pneumonia,0.002158925166654946,0.003933930185364698,0.3204303162122839,0.7230651793968408
ResNet50-ImageNet,atrial_fibrillation,Pneumothorax,-0.00010294201268135073,-3.675643693248909e-05,0.23174612570336886,0.6767743373764569
ResNet50-ImageNet,age,Cardiomegaly,0.034405098684819335,0.049893031011584876,0.3965973620021633,0.7852365141234782
ResNet50-ImageNet,age,Edema,0.012873824691612357,0.027911966600063787,0.5818438419961032,0.8677141834700243
ResNet50-ImageNet,age,Pleural Effusion,0.022156946268705457,0.042103749819433156,0.5367690064205314,0.8499993386436221
ResNet50-ImageNet,age,Pneumonia,0.0027262609476632615,0.006262062065710838,0.3204303162122839,0.7230651793968408
ResNet50-ImageNet,age,Pneumothorax,-0.006360931653784263,-0.006558644942142866,0.23174612570336886,0.6767743373764569
ResNet50-ImageNet,sex,Cardiomegaly,-0.00021671747121077,-0.000782057631370292,0.3965973620021633,0.7852365141234782
ResNet50-ImageNet,sex,Edema,5.288902469113843e-05,-0.0007798073888982682,0.5818438419961032,0.8677141834700243
ResNet50-ImageNet,sex,Pleural Effusion,-0.0005301375834606548,-1.2569078681190504e-06,0.5367690064205314,0.8499993386436221
ResNet50-ImageNet,sex,Pneumonia,0.0002464769048600157,0.00022344976978777575,0.3204303162122839,0.7230651793968408
ResNet50-ImageNet,sex,Pneumothorax,0.0006735006523500564,0.003924462925755601,0.23174612570336886,0.6767743373764569
ResNet50-ImageNet,race_black_vs_white,Cardiomegaly,-0.0005283536437769021,0.012192959189746388,0.39847991364435004,0.7775140943645876
ResNet50-ImageNet,race_black_vs_white,Edema,0.0007934020618557414,-0.0018900850645530154,0.5821302703692,0.8643609766684753
ResNet50-ImageNet,race_black_vs_white,Pleural Effusion,0.0035434805059043617,0.0008277957063929087,0.5187292741806901,0.8434884725708517
ResNet50-ImageNet,race_black_vs_white,Pneumonia,0.0013331392130220276,0.0013464815546605502,0.3127628795277022,0.7213325640417287
ResNet50-ImageNet,race_black_vs_white,Pneumothorax,-0.0010316835408832326,0.005047498461528077,0.21698720070691194,0.6731271325006936
DINOv2-base,heart_failure,Cardiomegaly,0.06797872409338424,0.11153459836134544,0.44312941113293314,0.8132243580489575
DINOv2-base,heart_failure,Edema,0.02957415265068275,0.05582543476999624,0.6313355013596004,0.889433432507126
DINOv2-base,heart_failure,Pleural Effusion,0.01272509406549982,0.032626989076355195,0.6052708731389961,0.8836724195189734
DINOv2-base,heart_failure,Pneumonia,0.003403783686139472,-0.0007700988460430103,0.36914434795416734,0.7459429485660218
DINOv2-base,heart_failure,Pneumothorax,0.0026434071170439166,0.004100922898484877,0.2448016402876374,0.7022070048675813
DINOv2-base,atrial_fibrillation,Cardiomegaly,0.04928318397352627,0.08064217069738927,0.44312941113293314,0.8132243580489575
DINOv2-base,atrial_fibrillation,Edema,0.015503257327839304,0.03562429781624432,0.6313355013596004,0.889433432507126
DINOv2-base,atrial_fibrillation,Pleural Effusion,0.01650651649373014,0.043222130820124605,0.6052708731389961,0.8836724195189734
DINOv2-base,atrial_fibrillation,Pneumonia,0.002048391709320807,0.006259972718032414,0.36914434795416734,0.7459429485660218
DINOv2-base,atrial_fibrillation,Pneumothorax,-9.676733510821656e-06,-0.00010929269877285597,0.2448016402876374,0.7022070048675813
DINOv2-base,age,Cardiomegaly,0.033502253815430594,0.04718404199884357,0.44312941113293314,0.8132243580489575
DINOv2-base,age,Edema,0.011983604637931689,0.02928714977247293,0.6313355013596004,0.889433432507126
DINOv2-base,age,Pleural Effusion,0.018752340525998612,0.045699656108384334,0.6052708731389961,0.8836724195189734
DINOv2-base,age,Pneumonia,0.0027011974573377673,0.012266022797957243,0.36914434795416734,0.7459429485660218
DINOv2-base,age,Pneumothorax,-0.002608110079571402,-0.010087200207042346,0.2448016402876374,0.7022070048675813
DINOv2-base,sex,Cardiomegaly,-5.916786043458355e-05,-0.0006852207446074177,0.44312941113293314,0.8132243580489575
DINOv2-base,sex,Edema,6.160570136626298e-05,0.0017157673442819155,0.6313355013596004,0.889433432507126
DINOv2-base,sex,Pleural Effusion,-0.0005123307407690625,-0.0012341018356152311,0.6052708731389961,0.8836724195189734
DINOv2-base,sex,Pneumonia,-0.0002525984024970285,0.006516276711194147,0.36914434795416734,0.7459429485660218
DINOv2-base,sex,Pneumothorax,0.0011327307769615214,0.00021778878625067222,0.2448016402876374,0.7022070048675813
DINOv2-base,race_black_vs_white,Cardiomegaly,-0.0004236929516510113,-0.0034066777403231052,0.4371971511500081,0.8087013262477522
DINOv2-base,race_black_vs_white,Edema,0.00038545849158966305,9.365158396779094e-06,0.6221814330990755,0.8881557460661964
DINOv2-base,race_black_vs_white,Pleural Effusion,0.0032265842179916016,0.008948855409841805,0.5882956588918149,0.8795089329935909
DINOv2-base,race_black_vs_white,Pneumonia,0.0008868422377039664,0.0030782443505675827,0.3646262735561271,0.7438001926823833
DINOv2-base,race_black_vs_white,Pneumothorax,-0.0004174706546969942,-0.004099982114753875,0.2557658171843044,0.7030906000055737
