model,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
ResNet50-ImageNet,Atelectasis,Gender,0.033480790127539684,0.002080696188442374,0.10648839810736985,0.012772895547174978,0.06780952380952376,0.06780952380952376,0.012772895547174978,0.0033302553781870345
ResNet50-ImageNet,Atelectasis,Age,0.09242485328969108,0.02680369290028185,0.19118620648585014,0.07023581939181933,0.1706349206349207,0.1706349206349207,0.07023581939181933,0.013611918972386557
ResNet50-ImageNet,Atelectasis,Race,0.1512631506090808,0.035920578219060244,0.44210840230578635,0.06568106404165602,0.43333333333333335,0.43333333333333335,0.06568106404165597,0.017956160736849434
ResNet50-ImageNet,Cardiomegaly,Gender,0.004155209888153433,0.00048794860846363975,0.025793604242298675,0.03229255871408765,0.018824720104344883,0.018824720104344883,0.03229255871408765,0.0013925589209257197
ResNet50-ImageNet,Cardiomegaly,Age,0.06585135746500381,0.03563765960707737,0.09534357554076765,0.13028206768416095,0.22886728655959432,0.22886728655959432,0.13028206768416095,0.022393666938838853
ResNet50-ImageNet,Cardiomegaly,Race,0.03219320921751556,0.01277837809851898,0.11035016351785099,0.05770520943215918,0.017082517938682318,0.017082517938682318,0.05770520943215918,0.035884241279601735
ResNet50-ImageNet,Consolidation,Gender,0.001848240829167458,0.000505854000052386,0.03634396622445719,0.006692735749736833,0.016920179632043952,0.016920179632043952,0.006692735749736833,0.009496833585797462
ResNet50-ImageNet,Consolidation,Age,0.026781148241891484,0.006295015327574413,0.0689805293483946,0.09712399811409711,0.07086247086247088,0.07086247086247088,0.09712399811409711,0.003787505378636341
ResNet50-ImageNet,Consolidation,Race,0.052095809544769,0.01778481774012097,0.15628071655505468,0.08263465216221522,0.11200644641418211,0.11200644641418211,0.08263465216221522,0.0649026718116526
ResNet50-ImageNet,Edema,Gender,0.004867536368937109,0.0003178460034363728,0.02109883449930717,0.010279585129884472,0.010791894209899788,0.010791894209899788,0.010279585129884472,0.0004281761640006071
ResNet50-ImageNet,Edema,Age,0.03721451394350683,0.0216802672626124,0.0585152467703301,0.05962764504628826,0.1117114126608939,0.1117114126608939,0.05962764504628826,0.01700772355533981
ResNet50-ImageNet,Edema,Race,0.04853329204885781,0.019542289942572733,0.10813544689301133,0.06740971863935774,0.09998660370407575,0.09998660370407575,0.06740971863935774,0.07310422780377734
ResNet50-ImageNet,Enlarged Cardiomediastinum,Gender,0.0464889049057039,0.006490753901572058,0.0919878816628521,0.02749164973255791,0.02195339967820753,0.02195339967820753,0.02749164973255791,0.012225511757861574
ResNet50-ImageNet,Enlarged Cardiomediastinum,Age,0.0743879216557386,0.03459867289204309,0.13690802871676075,0.199231950844854,0.2001409443269908,0.2001409443269908,0.199231950844854,0.0377629959318837
ResNet50-ImageNet,Enlarged Cardiomediastinum,Race,0.0746093388811837,0.027155654468104553,0.22129742814858858,0.18166666666666664,0.11742424242424243,0.11742424242424243,0.18166666666666664,0.08778594559279276
ResNet50-ImageNet,Lung Opacity,Gender,0.006483778069531376,0.0012345710499397922,0.06301726608473722,0.005453659427820612,0.014851393589672468,0.014851393589672468,0.005453659427820612,0.00571293133705926
ResNet50-ImageNet,Lung Opacity,Age,0.039302128434819616,0.01323576838211556,0.10564471539982014,0.16519238305307338,0.22036011771160657,0.22036011771160657,0.16519238305307338,0.02615259880120599
ResNet50-ImageNet,Lung Opacity,Race,0.14013601681301124,0.048333706835388145,0.27687307016388846,0.11003299271410893,0.09886275523391053,0.09886275523391053,0.11003299271410893,0.025918148020183378
ResNet50-ImageNet,Pleural Effusion,Gender,0.025039411249908716,0.011138786011026839,0.039978150747018604,0.04289957026417812,0.004255952729073309,0.004255952729073309,0.04289957026417812,0.01934635291952025
ResNet50-ImageNet,Pleural Effusion,Age,0.032175041087806555,0.016120131567836527,0.05395014697572523,0.14680336508536662,0.21912012187189178,0.21912012187189178,0.14680336508536662,0.01053807816596607
ResNet50-ImageNet,Pleural Effusion,Race,0.019825860746107593,0.01129119217705441,0.06880412982852083,0.0774649462345689,0.07345513547606086,0.07345513547606086,0.0774649462345689,0.01915755936425202
ResNet50-ImageNet,Pneumonia,Gender,0.012885577992957753,0.0009743546188622721,0.0408767613743137,0.04463960489383123,0.020377395883468763,0.020377395883468763,0.04463960489383123,0.0009679356570286707
ResNet50-ImageNet,Pneumonia,Age,0.02153283989182697,0.006595460661191816,0.0568428301956673,0.14805602394215744,0.16538650879806116,0.16538650879806116,0.14805602394215744,0.02742008665101394
ResNet50-ImageNet,Pneumonia,Race,0.10250429032098374,0.03793468704560331,0.18187295851791563,0.09384010484927918,0.15017564402810302,0.15017564402810302,0.09384010484927918,0.11872813364037246
ResNet50-ImageNet,Pneumothorax,Gender,0.04928409821777213,0.020130238879411688,0.07893357984944294,0.027177236648235903,0.029376953678056927,0.029376953678056927,0.027177236648235903,0.018746378478512633
ResNet50-ImageNet,Pneumothorax,Age,0.023778349768193485,0.005783015115364443,0.06450226101317423,0.07804540792567427,0.06237345259037408,0.06237345259037408,0.07804540792567427,0.01313495608387133
ResNet50-ImageNet,Pneumothorax,Race,0.0620010339190995,0.019932574500625237,0.1572172675771578,0.07759036144578313,0.12083214365026484,0.12083214365026484,0.07759036144578313,0.06356338941905867
ResNet50-ImageNet,Support Devices,Gender,0.017043449588618587,0.0014004174325593617,0.06680164090197942,0.0015052432104296631,0.0004831143734318477,0.0004831143734318477,0.0015052432104296631,0.0067630166336907355
ResNet50-ImageNet,Support Devices,Age,0.07140045929890126,0.020903542279583038,0.134564133860337,0.03207934134793167,0.14358586812771584,0.1435858681277158,0.03207934134793167,0.007350467010770419
ResNet50-ImageNet,Support Devices,Race,0.052219018574280796,0.03196530246343873,0.19849522664810906,0.01504456327985737,0.12566178760510738,0.12566178760510738,0.01504456327985737,0.0006183862380089861
DINOv2-base,Atelectasis,Gender,0.03977179139120801,0.002166687990381433,0.11449709839790073,0.005481658085194074,0.09866666666666668,0.09866666666666668,0.005481658085194074,0.005321952566182823
DINOv2-base,Atelectasis,Age,0.13895864177692907,0.05752888620583652,0.23548611971172298,0.11037947219030986,0.31746031746031744,0.31746031746031744,0.11037947219030986,0.0013609694539989774
DINOv2-base,Atelectasis,Race,0.18700277035590707,0.03616900377210959,0.5230156675658381,0.0994495905884909,0.0930930930930931,0.0930930930930931,0.0994495905884909,0.013369877233793796
DINOv2-base,Cardiomegaly,Gender,0.005919657235964104,0.0003886404917260944,0.025419106964855855,0.025262530345400824,0.019813482809718952,0.019813482809718952,0.025262530345400824,0.0025509749603196685
DINOv2-base,Cardiomegaly,Age,0.05333077345244952,0.026568060324281936,0.08227440810014557,0.17335754853302965,0.22209369577790627,0.22209369577790627,0.17335754853302965,0.017393700454984548
DINOv2-base,Cardiomegaly,Race,0.05259976825742496,0.016932021045872808,0.119570034753255,0.18460950755583772,0.06250984096992607,0.06250984096992607,0.18460950755583772,0.07635782011682253
DINOv2-base,Consolidation,Gender,0.020867664829205324,0.0018369006081952132,0.04383796387383472,0.01103758292809276,0.06605823554976098,0.06605823554976098,0.01103758292809276,0.019854992652183677
DINOv2-base,Consolidation,Age,0.013376015165733057,0.0044195483340204594,0.048441712461398584,0.06818021773727867,0.0811188811188811,0.0811188811188811,0.06818021773727867,0.0183164465278265
DINOv2-base,Consolidation,Race,0.025158248179935727,0.01529946836866991,0.10982580292822453,0.08666666666666667,0.1965566714490674,0.1965566714490674,0.08666666666666667,0.0861986347902805
