model,finding,dimension,group,n,auroc,ece,sensitivity,specificity,fpr,fnr
ResNet50-ImageNet,Atelectasis,Gender,Female,3185,0.6278880643166357,0.03500035937028718,0.5107142857142857,0.6761904761904762,0.32380952380952377,0.4892857142857143
ResNet50-ImageNet,Atelectasis,Gender,Male,4254,0.6613688544441754,0.03167010399210014,0.4979413901671107,0.744,0.256,0.5020586098328893
ResNet50-ImageNet,Atelectasis,Age,<50,1175,0.6813978901357541,0.0425835671338963,0.46601941747572817,0.8095238095238095,0.19047619047619047,0.5339805825242718
ResNet50-ImageNet,Atelectasis,Age,50-70,3089,0.659408817286614,0.033726122141190445,0.48335015136226034,0.7241379310344828,0.27586206896551724,0.5166498486377397
ResNet50-ImageNet,Atelectasis,Age,70+,3175,0.5889730368460631,0.028971648161509742,0.5362552368675475,0.6388888888888888,0.36111111111111116,0.4637447631324525
ResNet50-ImageNet,Atelectasis,Race,White,5340,0.6337874286865615,0.032489292279568927,0.5080131299478664,0.6956521739130435,0.30434782608695654,0.4919868700521336
ResNet50-ImageNet,Atelectasis,Race,Black,826,0.6611516459425204,0.042711736121842085,0.4423320659062104,0.7837837837837838,0.21621621621621623,0.5576679340937896
ResNet50-ImageNet,Atelectasis,Race,Asian,197,0.5322916666666667,0.050304333884621424,0.4895833333333333,0.4,0.6,0.5104166666666667
ResNet50-ImageNet,Atelectasis,Race,Other,620,0.6835548172757475,0.03234817314777199,0.48172757475083056,0.8333333333333334,0.16666666666666663,0.5182724252491695
ResNet50-ImageNet,Cardiomegaly,Gender,Female,4246,0.7876216968406348,0.04082132676387023,0.7706127686878409,0.6775907883082374,0.3224092116917626,0.2293872313121591
ResNet50-ImageNet,Cardiomegaly,Gender,Male,5177,0.7834664869524813,0.03942876784294451,0.7383202099737532,0.6964155084125823,0.30358449158741774,0.26167979002624675
ResNet50-ImageNet,Cardiomegaly,Age,<50,1629,0.8090862241318292,0.06075758916397114,0.6694648478488983,0.8002958579881657,0.19970414201183428,0.33053515215110174
ResNet50-ImageNet,Cardiomegaly,Age,50-70,3968,0.7775338063997859,0.04597389329142709,0.7284038393174547,0.6891774891774892,0.3108225108225108,0.27159616068254533
ResNet50-ImageNet,Cardiomegaly,Age,70+,3826,0.7432348666668254,0.03836392222513229,0.7997469155330592,0.5714285714285714,0.4285714285714286,0.2002530844669408
ResNet50-ImageNet,Cardiomegaly,Race,White,6459,0.7843557877220777,0.040310015625529806,0.7587361372672107,0.6815476190476191,0.31845238095238093,0.24126386273278932
ResNet50-ImageNet,Cardiomegaly,Race,Black,1333,0.7813242717683802,0.04867906649443573,0.7459095283926853,0.6972789115646258,0.30272108843537415,0.2540904716073147
ResNet50-ImageNet,Cardiomegaly,Race,Asian,281,0.7521625785045621,0.07619425690513154,0.7010309278350515,0.6896551724137931,0.31034482758620685,0.2989690721649485
ResNet50-ImageNet,Cardiomegaly,Race,Other,748,0.7840415706381474,0.05190930276278886,0.7145557655954632,0.6986301369863014,0.3013698630136986,0.2854442344045368
ResNet50-ImageNet,Consolidation,Gender,Female,1322,0.8260813188848755,0.10117206736358995,0.7131147540983607,0.8203389830508474,0.1796610169491526,0.28688524590163933
ResNet50-ImageNet,Consolidation,Gender,Male,1566,0.824233078055708,0.09167523377779249,0.7064220183486238,0.8034188034188035,0.19658119658119655,0.29357798165137616
ResNet50-ImageNet,Consolidation,Age,<50,589,0.8064921876803065,0.10106199997244059,0.636963696369637,0.8426573426573427,0.1573426573426573,0.363036303630363
ResNet50-ImageNet,Consolidation,Age,50-70,1206,0.833273335922198,0.09727449459380424,0.7340876944837341,0.8256513026052105,0.17434869739478953,0.2659123055162659
ResNet50-ImageNet,Consolidation,Age,70+,1093,0.8219462377357114,0.09760288091522938,0.7155049786628734,0.7717948717948718,0.22820512820512817,0.28449502133712656
ResNet50-ImageNet,Consolidation,Race,White,1925,0.8141721098004263,0.0992919594656772,0.7198027937551356,0.7782485875706214,0.22175141242937857,0.28019720624486444
ResNet50-ImageNet,Consolidation,Race,Black,419,0.8208447488584475,0.09855144632026525,0.67,0.8767123287671232,0.12328767123287676,0.32999999999999996
ResNet50-ImageNet,Consolidation,Race,Asian,106,0.7871732026143791,0.16345411813191785,0.6805555555555556,0.7647058823529411,0.23529411764705888,0.3194444444444444
ResNet50-ImageNet,Consolidation,Race,Other,236,0.8392690121591481,0.10568814075409547,0.6371681415929203,0.8699186991869918,0.13008130081300817,0.36283185840707965
ResNet50-ImageNet,Edema,Gender,Female,3807,0.8702311919904512,0.03798866862676449,0.8186628186628186,0.7633101851851852,0.23668981481481477,0.18133718133718135
ResNet50-ImageNet,Edema,Gender,Male,4454,0.8653636556215141,0.0384168447907651,0.8083832335329342,0.774102079395085,0.22589792060491498,0.19161676646706582
ResNet50-ImageNet,Edema,Age,<50,1290,0.8749194854029212,0.04772271946597824,0.7666034155597723,0.8191349934469201,0.1808650065530799,0.2333965844402277
ResNet50-ImageNet,Edema,Age,50-70,3485,0.8801622776063361,0.030714995910638428,0.811586051743532,0.7967193907439953,0.20328060925600466,0.18841394825646796
ResNet50-ImageNet,Edema,Age,70+,3486,0.8429477636628293,0.04547397232821363,0.8262310606060606,0.7074235807860262,0.2925764192139738,0.17376893939393945
ResNet50-ImageNet,Edema,Race,White,5718,0.8690461125616783,0.03462649999636801,0.8195464707761099,0.768457672980286,0.231542327019714,0.18045352922389013
ResNet50-ImageNet,Edema,Race,Black,1093,0.8668140259218325,0.0466133241532717,0.8018018018018018,0.7936802973977695,0.20631970260223054,0.19819819819819817
ResNet50-ImageNet,Edema,Race,Asian,228,0.8205128205128205,0.10773072780014535,0.7521367521367521,0.6936936936936937,0.3063063063063063,0.24786324786324787
ResNet50-ImageNet,Edema,Race,Other,685,0.8377186220600579,0.07745312774360753,0.7617554858934169,0.7568306010928961,0.24316939890710387,0.2382445141065831
ResNet50-ImageNet,Enlarged Cardiomediastinum,Gender,Female,882,0.729747217668881,0.17944536823205368,0.6268656716417911,0.7456647398843931,0.2543352601156069,0.3731343283582089
ResNet50-ImageNet,Enlarged Cardiomediastinum,Gender,Male,1124,0.6832583127631771,0.19167087998991525,0.5993740219092332,0.7237113402061855,0.27628865979381445,0.40062597809076683
ResNet50-ImageNet,Enlarged Cardiomediastinum,Age,<50,483,0.6606201550387597,0.2081570515594312,0.4666666666666667,0.8062015503875969,0.1937984496124031,0.5333333333333333
ResNet50-ImageNet,Enlarged Cardiomediastinum,Age,50-70,891,0.725937984496124,0.1703940556275475,0.6298449612403101,0.7493333333333333,0.2506666666666667,0.3701550387596899
ResNet50-ImageNet,Enlarged Cardiomediastinum,Age,70+,632,0.6515500628403854,0.19340013977820808,0.6658986175115207,0.6060606060606061,0.3939393939393939,0.3341013824884793
ResNet50-ImageNet,Enlarged Cardiomediastinum,Race,White,1346,0.6935673325934146,0.18345542964661216,0.6127450980392157,0.7150943396226415,0.28490566037735854,0.38725490196078427
ResNet50-ImageNet,Enlarged Cardiomediastinum,Race,Black,223,0.6663430420711973,0.2547118678731629,0.5583333333333333,0.7281553398058253,0.27184466019417475,0.44166666666666665
ResNet50-ImageNet,Enlarged Cardiomediastinum,Race,Asian,71,0.740952380952381,0.16692592228037015,0.74,0.6666666666666666,0.33333333333333337,0.26
ResNet50-ImageNet,Enlarged Cardiomediastinum,Race,Other,194,0.7072255574614066,0.16826050998344178,0.5849056603773585,0.7840909090909091,0.21590909090909094,0.41509433962264153
ResNet50-ImageNet,Lung Opacity,Gender,Female,3716,0.6507094683056978,0.03693211538857952,0.5863442389758179,0.6616915422885572,0.3383084577114428,0.4136557610241821
ResNet50-ImageNet,Lung Opacity,Gender,Male,4738,0.6442256902361664,0.04264504672563878,0.5808905795479973,0.6468401486988847,0.35315985130111527,0.4191094204520027
ResNet50-ImageNet,Lung Opacity,Age,<50,1454,0.6393322460647597,0.056077833694069254,0.47483095416979715,0.7479674796747967,0.2520325203252033,0.5251690458302029
ResNet50-ImageNet,Lung Opacity,Age,50-70,3409,0.6572463768115941,0.044087222273056954,0.5677519379844961,0.7010869565217391,0.29891304347826086,0.4322480620155039
ResNet50-ImageNet,Lung Opacity,Age,70+,3591,0.6179442483767745,0.029925234892863264,0.6400233372228705,0.5276073619631901,0.47239263803680986,0.3599766627771295
ResNet50-ImageNet,Lung Opacity,Race,White,5827,0.6399599064483796,0.039883810393988195,0.5922312556458897,0.636986301369863,0.363013698630137,0.40776874435411026
ResNet50-ImageNet,Lung Opacity,Race,Black,1098,0.6669941060903732,0.040313654829829605,0.5638506876227898,0.675,0.32499999999999996,0.4361493123772102
ResNet50-ImageNet,Lung Opacity,Race,Asian,293,0.7800959232613909,0.032128463762306866,0.6402877697841727,0.7333333333333333,0.2666666666666667,0.3597122302158273
ResNet50-ImageNet,Lung Opacity,Race,Other,681,0.6488703280855667,0.058046611782490244,0.5302547770700637,0.7358490566037735,0.26415094339622647,0.46974522292993626
ResNet50-ImageNet,Pleural Effusion,Gender,Female,5712,0.8638545354308003,0.01905646420645731,0.8443359876701773,0.7240241891148983,0.2759758108851017,0.15566401232982274
ResNet50-ImageNet,Pleural Effusion,Gender,Male,6990,0.8388151241808915,0.03840281712597756,0.8014364174059991,0.7282801418439716,0.2717198581560284,0.19856358259400086
ResNet50-ImageNet,Pleural Effusion,Age,<50,2081,0.8545960760510314,0.03790488700160568,0.7195571955719557,0.8224674022066198,0.17753259779338015,0.28044280442804426
ResNet50-ImageNet,Pleural Effusion,Age,50-70,5288,0.850290761376034,0.02736680883563961,0.7976505139500735,0.7535847052575677,0.2464152947424323,0.20234948604992653
ResNet50-ImageNet,Pleural Effusion,Age,70+,5333,0.8224210349632248,0.02910317543245062,0.8663605606573224,0.6033472803347281,0.39665271966527194,0.13363943934267764
ResNet50-ImageNet,Pleural Effusion,Race,White,9135,0.8473953367596748,0.025418242906151235,0.8287087273290963,0.706408345752608,0.293591654247392,0.17129127267090372
ResNet50-ImageNet,Pleural Effusion,Race,Black,1390,0.8312575348513406,0.04408270166234228,0.7512437810945274,0.7798634812286689,0.2201365187713311,0.24875621890547261
ResNet50-ImageNet,Pleural Effusion,Race,Asian,387,0.8350835767103709,0.04457580227040325,0.8270676691729323,0.7107438016528925,0.2892561983471075,0.17293233082706772
ResNet50-ImageNet,Pleural Effusion,Race,Other,1046,0.8510833955974482,0.044020941830135954,0.7968503937007874,0.7591240875912408,0.24087591240875916,0.20314960629921264
