model,attribute,space,n_dirs,decode_lin_after,decode_mlp_after,drop_concept,drop_random,net_drop
ResNet50-ImageNet,sex,raw,25,0.5935062868056661,0.8995045410233965,-0.0003906417014397645,-0.00082060127230279,0.0004299595708630255
ResNet50-ImageNet,sex,rff,7,0.5265564569075283,0.8083505217451855,0.022044049688645973,0.0007681423532920117,0.02127590733535396
ResNet50-ImageNet,race_black_vs_white,raw,25,0.6058028429769216,0.6826366350130413,0.004581737293141685,-0.0005152450740191217,0.005096982367160807
ResNet50-ImageNet,race_black_vs_white,rff,5,0.5383447778133748,0.48114780347664765,0.017399597461924387,0.000399549041159486,0.017000048420764902
ResNet50-ImageNet,age_bin,raw,25,0.6074085740300921,0.7915026268125659,0.017062787128396352,-0.0011644839913292904,0.018227271119725642
ResNet50-ImageNet,age_bin,rff,7,0.5281408877166347,0.7476088205020652,0.05152869217212386,0.00016717432568933433,0.05136151784643452
ResNet50-ImageNet,heart_failure,raw,25,0.6167202984980996,0.6869754156376019,0.03567896510175077,-0.0003034541391423895,0.035982419240893154
ResNet50-ImageNet,heart_failure,rff,10,0.4952515372897605,0.5080349420609842,0.07675523526337713,0.0005031263069284808,0.07625210895644866
ResNet50-ImageNet,atrial_fibrillation,raw,25,0.6152294070222059,0.6952008149791242,0.028219135173463174,-0.0009804713532032272,0.0291996065266664
ResNet50-ImageNet,atrial_fibrillation,rff,7,0.5194658300376004,0.513765212025884,0.06913102936179845,-0.00011915992730573421,0.06925018928910419
DINOv2-base,sex,raw,25,0.7604250681402196,0.9499824178338372,0.00017909640588831266,-0.0008325944330940915,0.0010116908389824042
DINOv2-base,sex,rff,9,0.5279145113799141,0.9206825212876015,0.0013630225710223876,-2.5128093243198536e-05,0.001388150664265586
DINOv2-base,race_black_vs_white,raw,25,0.7319705962092549,0.8096674813643873,-0.0008948614851315151,-0.0013492558777769004,0.0004543943926453853
DINOv2-base,race_black_vs_white,rff,9,0.5472173803170227,0.8005367336793914,0.008094581680593982,-0.00014636145879294294,0.008240943139386924
DINOv2-base,age_bin,raw,25,0.7417349351842859,0.8209679053965007,0.00264965823670289,-0.001549613576739195,0.0041992718134420855
DINOv2-base,age_bin,rff,10,0.5261849465231918,0.8119790154254428,0.031919922516997844,-0.00038556867430057374,0.03230549119129842
DINOv2-base,heart_failure,raw,25,0.6940380295961521,0.7301681233813966,0.017334796958207388,-0.0004605590436112195,0.017795356001818606
DINOv2-base,heart_failure,rff,10,0.5120882184076556,0.7086414163385707,0.05288004786516738,1.0502411303647818e-05,0.052869545453863735
DINOv2-base,atrial_fibrillation,raw,25,0.7015217744292535,0.7131261057354932,0.011182173174070975,-0.0009815908199736878,0.012163763994044662
DINOv2-base,atrial_fibrillation,rff,10,0.5468867430344841,0.739306759441375,0.0492603269548207,-0.00034173119007905315,0.049602058144899756
