attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop
sex,demographic,ResNet50-ImageNet,Atelectasis,0.616978,0.617585,-0.000607
sex,demographic,ResNet50-ImageNet,Cardiomegaly,0.782652,0.782740,-0.000088
sex,demographic,ResNet50-ImageNet,Consolidation,0.800031,0.796652,0.003379
sex,demographic,ResNet50-ImageNet,Edema,0.858816,0.858777,0.000038
sex,demographic,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.664323,0.665609,-0.001286
sex,demographic,ResNet50-ImageNet,Lung Opacity,0.646126,0.646043,0.000083
sex,demographic,ResNet50-ImageNet,Pleural Effusion,0.850925,0.851384,-0.000460
sex,demographic,ResNet50-ImageNet,Pneumonia,0.710925,0.710606,0.000319
sex,demographic,ResNet50-ImageNet,Pneumothorax,0.672481,0.671740,0.000741
sex,demographic,ResNet50-ImageNet,Support Devices,0.680371,0.680240,0.000131
age,demographic,ResNet50-ImageNet,Atelectasis,0.616978,0.608935,0.008042
age,demographic,ResNet50-ImageNet,Cardiomegaly,0.782652,0.750706,0.031946
age,demographic,ResNet50-ImageNet,Consolidation,0.800031,0.795995,0.004037
age,demographic,ResNet50-ImageNet,Edema,0.858816,0.847328,0.011487
age,demographic,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.664323,0.645484,0.018840
age,demographic,ResNet50-ImageNet,Lung Opacity,0.646126,0.630476,0.015650
age,demographic,ResNet50-ImageNet,Pleural Effusion,0.850925,0.829423,0.021502
age,demographic,ResNet50-ImageNet,Pneumonia,0.710925,0.709019,0.001906
age,demographic,ResNet50-ImageNet,Pneumothorax,0.672481,0.679331,-0.006849
age,demographic,ResNet50-ImageNet,Support Devices,0.680371,0.675675,0.004696
bmi,demographic,ResNet50-ImageNet,Atelectasis,0.616978,0.617082,-0.000104
bmi,demographic,ResNet50-ImageNet,Cardiomegaly,0.782652,0.771739,0.010913
bmi,demographic,ResNet50-ImageNet,Consolidation,0.800031,0.792096,0.007935
bmi,demographic,ResNet50-ImageNet,Edema,0.858816,0.859020,-0.000205
bmi,demographic,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.664323,0.662280,0.002044
bmi,demographic,ResNet50-ImageNet,Lung Opacity,0.646126,0.644248,0.001878
bmi,demographic,ResNet50-ImageNet,Pleural Effusion,0.850925,0.849259,0.001666
bmi,demographic,ResNet50-ImageNet,Pneumonia,0.710925,0.707145,0.003780
bmi,demographic,ResNet50-ImageNet,Pneumothorax,0.672481,0.658869,0.013612
bmi,demographic,ResNet50-ImageNet,Support Devices,0.680371,0.680223,0.000149
hypertension,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.645730,-0.000516
hypertension,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.779751,0.005486
hypertension,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.826254,-0.000204
hypertension,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.867407,0.000307
hypertension,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.698209,0.005570
hypertension,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.645271,0.001792
hypertension,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.847859,0.002140
hypertension,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.722953,0.000112
hypertension,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.675890,0.000884
hypertension,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.697197,0.002101
heart_failure,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.635632,0.009582
heart_failure,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.712444,0.072792
heart_failure,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.820566,0.005484
heart_failure,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.834650,0.033064
heart_failure,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.672697,0.031083
heart_failure,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.638792,0.008272
heart_failure,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.834095,0.015904
heart_failure,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.718343,0.004722
heart_failure,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.675570,0.001204
heart_failure,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.692969,0.006329
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.634763,0.010451
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.732880,0.052356
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.817525,0.008525
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.850514,0.017200
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.703780,0.680352,0.023427
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Lung Opacity,0.647063,0.638363,0.008700
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Pleural Effusion,0.849999,0.829276,0.020723
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Pneumonia,0.723065,0.720906,0.002159
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Pneumothorax,0.676774,0.676877,-0.000103
atrial_fibrillation,comorbidity,ResNet50-ImageNet,Support Devices,0.699298,0.691587,0.007711
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Atelectasis,0.645214,0.641536,0.003678
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Cardiomegaly,0.785237,0.757020,0.028217
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Consolidation,0.826050,0.825389,0.000661
coronary_artery_disease,comorbidity,ResNet50-ImageNet,Edema,0.867714,0.858079,0.009635
