model,attribute,attribute_type,disease,auroc_baseline,auroc_residualized,auroc_drop
RAD-DINO,sex,demographic,Atelectasis,0.6877162564118128,0.6869887622545301,0.0007274941572826821
RAD-DINO,sex,demographic,Cardiomegaly,0.8790798171433821,0.8793266958236718,-0.0002468786802897194
RAD-DINO,sex,demographic,Consolidation,0.9060382083874771,0.9031730678417081,0.0028651405457689183
RAD-DINO,sex,demographic,Edema,0.9057291998916484,0.9057832432327041,-5.404334105574282e-05
RAD-DINO,sex,demographic,Enlarged Cardiomediastinum,0.7814700707973343,0.7820423080918781,-0.0005722372945438092
RAD-DINO,sex,demographic,Lung Opacity,0.7684018221674447,0.7670346614917302,0.0013671606757145183
RAD-DINO,sex,demographic,Pleural Effusion,0.9195464786477727,0.919241329217008,0.00030514943076476175
RAD-DINO,sex,demographic,Pneumonia,0.7846081848828304,0.7851917124408963,-0.0005835275580658994
RAD-DINO,sex,demographic,Pneumothorax,0.7799254888059441,0.7791158746376963,0.0008096141682478741
RAD-DINO,sex,demographic,Support Devices,0.8127270857063599,0.8112637132885696,0.0014633724177902652
RAD-DINO,age,demographic,Atelectasis,0.6877162564118128,0.6749647160591252,0.012751540352687551
RAD-DINO,age,demographic,Cardiomegaly,0.8790798171433821,0.8537105458704658,0.025369271272916327
RAD-DINO,age,demographic,Consolidation,0.9060382083874771,0.9036363429114843,0.0024018654759927482
RAD-DINO,age,demographic,Edema,0.9057291998916484,0.9005269367723197,0.005202263119328698
RAD-DINO,age,demographic,Enlarged Cardiomediastinum,0.7814700707973343,0.764784925634698,0.016685145162636306
RAD-DINO,age,demographic,Lung Opacity,0.7684018221674447,0.754325774858156,0.014076047309288686
RAD-DINO,age,demographic,Pleural Effusion,0.9195464786477727,0.9063598495024667,0.013186629145305995
RAD-DINO,age,demographic,Pneumonia,0.7846081848828304,0.7807786466120243,0.00382953827080601
RAD-DINO,age,demographic,Pneumothorax,0.7799254888059441,0.7805452106400872,-0.0006197218341430499
RAD-DINO,age,demographic,Support Devices,0.8127270857063599,0.8095002067428774,0.0032268789634825046
RAD-DINO,bmi,demographic,Atelectasis,0.6877162564118128,0.6836367878714299,0.00407946854038288
RAD-DINO,bmi,demographic,Cardiomegaly,0.8790798171433821,0.8729755835176558,0.0061042336257263186
RAD-DINO,bmi,demographic,Consolidation,0.9060382083874771,0.9040703070805365,0.001967901306940578
RAD-DINO,bmi,demographic,Edema,0.9057291998916484,0.9057598654652071,-3.0665573558796844e-05
RAD-DINO,bmi,demographic,Enlarged Cardiomediastinum,0.7814700707973343,0.7805435913680729,0.0009264794292613843
RAD-DINO,bmi,demographic,Lung Opacity,0.7684018221674447,0.7652759916596956,0.003125830507749061
RAD-DINO,bmi,demographic,Pleural Effusion,0.9195464786477727,0.9167381881282564,0.0028082905195163654
RAD-DINO,bmi,demographic,Pneumonia,0.7846081848828304,0.7824940708548209,0.0021141140280094284
RAD-DINO,bmi,demographic,Pneumothorax,0.7799254888059441,0.7738304453294965,0.006095043476447626
RAD-DINO,bmi,demographic,Support Devices,0.8127270857063599,0.8125088328308273,0.00021825287553256523
RAD-DINO,hypertension,comorbidity,Atelectasis,0.7221106467157599,0.7212644821991834,0.0008461645165764864
RAD-DINO,hypertension,comorbidity,Cardiomegaly,0.8781331203984408,0.8732224771703442,0.004910643228096645
RAD-DINO,hypertension,comorbidity,Consolidation,0.9192100458322465,0.9191161456198531,9.390021239341628e-05
