attribute,mean_drop,median_drop,std_drop,n_obs,ci_lo,ci_hi,attribute_type,rank,cost_tier
heart_failure,0.017833,0.011109,0.018706,60,0.013421,0.022980,comorbidity,1,expensive
atrial_fibrillation,0.014739,0.011021,0.013132,60,0.011718,0.018262,comorbidity,2,moderate
age,0.012028,0.011858,0.010196,60,0.009410,0.014725,demographic,3,moderate
aki,0.010869,0.009807,0.005654,60,0.009514,0.012266,comorbidity,4,moderate
anemia,0.008833,0.008377,0.004446,60,0.007792,0.009886,comorbidity,5,moderate
ckd,0.006863,0.004228,0.008812,60,0.004809,0.009051,comorbidity,6,moderate
coronary_artery_disease,0.005698,0.004145,0.007464,60,0.004052,0.007703,comorbidity,7,moderate
bmi,0.004207,0.002030,0.005777,60,0.002983,0.005683,demographic,8,cheap
copd,0.003920,0.003226,0.003306,60,0.003087,0.004779,comorbidity,9,cheap
hyperlipidemia,0.003783,0.002614,0.005412,60,0.002598,0.005238,comorbidity,10,cheap
respiratory_failure,0.003612,0.004247,0.002618,60,0.002981,0.004256,comorbidity,11,cheap
diabetes,0.002989,0.001237,0.005232,60,0.001748,0.004436,comorbidity,12,cheap
obesity,0.002739,0.000648,0.004620,60,0.001684,0.004007,comorbidity,13,cheap
hypertension,0.001465,0.001132,0.002061,60,0.000940,0.001977,comorbidity,14,cheap
cancer_history,0.001451,0.000970,0.001707,60,0.001036,0.001865,comorbidity,15,cheap
hypothyroidism,0.001107,0.000959,0.001371,60,0.000759,0.001452,comorbidity,16,cheap
stroke,0.000966,0.000353,0.001697,60,0.000518,0.001399,comorbidity,17,free
pulmonary_fibrosis,0.000651,0.000248,0.001442,60,0.000275,0.001015,comorbidity,18,free
liver_disease,0.000263,0.000204,0.001320,60,-0.000034,0.000598,comorbidity,19,free
sex,0.000201,0.000084,0.001402,60,-0.000109,0.000545,demographic,20,free
asthma,0.000122,0.000164,0.000625,60,-0.000042,0.000276,comorbidity,21,free
depression,0.000025,0.000015,0.000758,60,-0.000165,0.000198,comorbidity,22,free
smoking_history,-0.000016,0.000010,0.000774,60,-0.000232,0.000166,comorbidity,23,free
