model,target,task,n_test,prevalence,linear_auroc,linear_auroc_ci_lo,linear_auroc_ci_hi,linear_auprc,mlp_auroc_mean,mlp_auroc_std,mlp_auroc_ensemble,perm_p,linear_mae,linear_mae_ci_lo,linear_mae_ci_hi,linear_r2,mlp_mae_mean,mlp_mae_std
ResNet50-ImageNet,gender_binary,binary,35471,0.5384445321068306,0.9483866078990142,0.9463450273238124,0.9503821065368719,0.9531286650102588,0.9590044253326921,0.0005584390064697041,0.9595595523297478,,,,,,,
ResNet50-ImageNet,diabetes,binary,35471,0.32833368735450813,0.6920653785440547,0.6863676726117048,0.6975088491624011,0.4908187990310007,0.6938799000122714,0.0062399099427129165,0.699421912278015,,,,,,,
ResNet50-ImageNet,hypertension,binary,35471,0.5169084848038217,0.6240343742759825,0.618318328350982,0.6299011957876831,0.5980106432044228,0.6257103698062774,0.000479986051330109,0.6274195023005891,0.0,,,,,,
ResNet50-ImageNet,ckd,binary,35471,0.2970179857206643,0.7026778742229063,0.6971409642155423,0.7083079283084328,0.4823242403676669,0.7079830874305728,0.0007630950300179503,0.7105575248920271,,,,,,,
ResNet50-ImageNet,heart_failure,binary,35471,0.3393011188514108,0.7751684670137644,0.770167242866301,0.7799118694263106,0.6424688435938357,0.7795576130447677,0.0008848061138390764,0.7813327719116682,,,,,,,
ResNet50-ImageNet,copd,binary,35471,0.2060619985001062,0.7172329659808374,0.7112039217330354,0.7236016200002691,0.40560280422114026,0.7156706947329268,0.008754824350573374,0.7224948691642523,,,,,,,
ResNet50-ImageNet,smoking_history,binary,35471,0.0838900135684034,0.6529604477294797,0.6424381728960922,0.6634098211897035,0.12443110816579467,0.6562033946290573,0.011689401555568692,0.6663295269765279,,,,,,,
ResNet50-ImageNet,cancer_history,binary,35471,0.30445676534465044,0.6594907522582514,0.6539567999817126,0.6651189944361908,0.4558570407842785,0.6686481702555849,0.0006465516149922719,0.6714764514985411,,,,,,,
ResNet50-ImageNet,atrial_fibrillation,binary,35471,0.3044264206725246,0.7733511546979934,0.7684243501145285,0.778532659409966,0.5897664800842508,0.776419161675598,0.0003591864432032465,0.7782603545998539,,,,,,,
ResNet50-ImageNet,coronary_artery_disease,binary,35471,0.3164342409280268,0.7365951323741667,0.7315084441540392,0.741944180146729,0.5638340987343473,0.7393507711167121,0.0009085359058662519,0.7413962409639662,,,,,,,
ResNet50-ImageNet,obesity,binary,35471,0.18592614106804575,0.8374441470354949,0.832529421006823,0.8426171130613418,0.5532593106287894,0.8405502047551179,0.00036347448849574225,0.8417887034106714,,,,,,,
ResNet50-ImageNet,anemia,binary,35471,0.48976300811069734,0.6678508223974523,0.6622753201134004,0.6730420824300895,0.6215762319119735,0.6704147963459499,0.000735220390595652,0.6726676594910942,,,,,,,
ResNet50-ImageNet,depression,binary,35471,0.2924229353701833,0.5810234981447281,0.5745865478045293,0.5872386946141449,0.351485272433475,0.5810188725424084,0.0012386275543704239,0.5862983817442257,0.0,,,,,,
ResNet50-ImageNet,hypothyroidism,binary,35471,0.16934061027470598,0.6525586523931155,0.6444444516080925,0.6598798640819921,0.25080643206458775,0.6455741055983328,0.0012790084161420012,0.6515355849458045,,,,,,,
