model,dimension,disease,subgroup,n,n_pos,prevalence,auroc,auroc_ci_lo,auroc_ci_hi,auprc,auprc_ci_lo,auprc_ci_hi,ece,brier,tpr,fpr,sufficient_data
ResNet50-ImageNet,Gender,Cardiomegaly,Female,4246,3117,0.73410267,0.8130407465787349,0.7976414343316797,0.8282504343459297,0.9122054798746123,0.9012687654745742,0.9222845562332456,0.14838697625130234,0.16653883,0.7882579403272377,0.325066430469442,True
ResNet50-ImageNet,Gender,Cardiomegaly,Male,5177,3810,0.73594743,0.7963726918919334,0.782713281948782,0.8090194169482439,0.9044002515631356,0.8941218050368308,0.9138830600235381,0.17314483645870943,0.18119478,0.7506561679790026,0.302121433796635,True
ResNet50-ImageNet,Gender,Consolidation,Female,1322,732,0.5537065,0.8677804019635084,0.8482800236761423,0.8863010526425352,0.8944207108087767,0.87370453226342,0.91285310436688,0.04052907037414869,0.14774401,0.8128415300546448,0.22033898305084745,True
ResNet50-ImageNet,Gender,Consolidation,Male,1566,981,0.62643677,0.8598952751857951,0.8405239860924453,0.8775904029001534,0.9141700868799755,0.8993579964804086,0.928483501539362,0.06831847862037206,0.15190277,0.8073394495412844,0.26324786324786326,True
ResNet50-ImageNet,Gender,Edema,Female,3807,2079,0.5460993,0.8872440787950046,0.8765614396425127,0.897597241199701,0.8940219532741248,0.8803602655752225,0.9072943917656864,0.022334650546382787,0.13431588,0.8316498316498316,0.22106481481481483,True
ResNet50-ImageNet,Gender,Edema,Male,4454,2338,0.5249214,0.8755120059637678,0.8660322214868822,0.8855454179568039,0.8745305227040043,0.8609499980644761,0.8884357370842887,0.012728454300077388,0.14264113,0.7959794696321643,0.20226843100189035,True
ResNet50-ImageNet,Gender,Enlarged Cardiomediastinum,Female,882,536,0.60770977,0.7959462082650333,0.7648823767361775,0.8238777254813705,0.8481780203615382,0.817454392336112,0.8775993907063342,0.08802780345116072,0.18577558,0.7593283582089553,0.3179190751445087,True
ResNet50-ImageNet,Gender,Enlarged Cardiomediastinum,Male,1124,639,0.56850535,0.7764967813755383,0.7496219584272052,0.8030309294549028,0.815925068197007,0.7845698092184035,0.8487146174245072,0.054611606715624865,0.19267422,0.7621283255086072,0.3443298969072165,True
ResNet50-ImageNet,Gender,Pleural Effusion,Female,5712,3893,0.68154764,0.8723122950695821,0.8629103317681347,0.8819574144753975,0.9300456303791502,0.9226678855023596,0.9374263376473158,0.08824096448166448,0.13782933,0.8016953506293347,0.22759758108851016,True
ResNet50-ImageNet,Gender,Pleural Effusion,Male,6990,4734,0.67725325,0.8465730122667768,0.8367719459996465,0.8565410283688603,0.9133387835878901,0.9058165411876645,0.9211273438254569,0.11231301760724685,0.1578421,0.7414448669201521,0.21808510638297873,True
ResNet50-ImageNet,Gender,Pneumonia,Female,2800,1128,0.40285715,0.7442587973802979,0.725629351921726,0.7623772841390778,0.662513393655474,0.6325960027954037,0.6920931926959846,0.07404863611395869,0.20347543,0.6524822695035462,0.2811004784688995,True
ResNet50-ImageNet,Gender,Pneumonia,Male,3183,1324,0.41595978,0.7581968345389215,0.7415592010800873,0.7754353040855188,0.6980251613903087,0.674060344648493,0.7223123748231468,0.08151128371294437,0.20069295,0.6790030211480362,0.2937062937062937,True
ResNet50-ImageNet,Gender,Pneumothorax,Female,3465,635,0.18326119,0.7282385019893715,0.7074288437256979,0.7504960847717256,0.42575437782600456,0.38792413244940804,0.46901160787896384,0.26252573945950636,0.20510387,0.6283464566929133,0.30812720848056535,True
ResNet50-ImageNet,Gender,Pneumothorax,Male,4825,994,0.20601036,0.6702414959608867,0.6507453098149086,0.690918775021532,0.3641775429762293,0.33604872782193834,0.3954383947089832,0.2582168319682383,0.22433706,0.6006036217303823,0.34534064212999216,True
