model,fusion,disease,auroc_mean,auroc_std,n_seeds,tier1
ResNet50-ImageNet,CXR-Only,Atelectasis,0.7477741591127034,0.0060166004264311165,5,False
ResNet50-ImageNet,CXR-Only,Cardiomegaly,0.8011278041979916,0.0035224642538549157,5,True
ResNet50-ImageNet,CXR-Only,Consolidation,0.8599507644918086,0.0009074985734778999,5,True
ResNet50-ImageNet,CXR-Only,Edema,0.8768971022232945,0.0014652818028448695,5,True
ResNet50-ImageNet,CXR-Only,Enlarged Cardiomediastinum,0.7815011905676319,0.0011628402939561195,5,True
ResNet50-ImageNet,CXR-Only,Lung Opacity,0.7259757813499339,0.001412271200597166,5,False
ResNet50-ImageNet,CXR-Only,Pleural Effusion,0.8542261312571959,0.0026373118122627838,5,True
ResNet50-ImageNet,CXR-Only,Pneumonia,0.7469422310802989,0.0005447751633435505,5,True
ResNet50-ImageNet,CXR-Only,Pneumothorax,0.6858624121479315,0.006028394818383094,5,True
ResNet50-ImageNet,CXR-Only,Support Devices,0.727459850970166,0.00654180581698539,5,False
ResNet50-ImageNet,CXR-Only,MEAN,0.7807717427398956,0.001835946528308027,5,True
ResNet50-ImageNet,Metadata-Only,Atelectasis,0.577850573256859,0.003589889749957745,5,False
ResNet50-ImageNet,Metadata-Only,Cardiomegaly,0.7590051979804036,0.0009198227924866124,5,True
ResNet50-ImageNet,Metadata-Only,Consolidation,0.6715263752779124,0.0032492777990584787,5,True
ResNet50-ImageNet,Metadata-Only,Edema,0.6699529558603984,0.0009528703377859684,5,True
ResNet50-ImageNet,Metadata-Only,Enlarged Cardiomediastinum,0.6680256036049876,0.002737712850688077,5,True
ResNet50-ImageNet,Metadata-Only,Lung Opacity,0.5959100648104719,0.004904337192496879,5,False
ResNet50-ImageNet,Metadata-Only,Pleural Effusion,0.6703540162466106,0.0008237996672348395,5,True
ResNet50-ImageNet,Metadata-Only,Pneumonia,0.6005281350961399,0.0011997145264873892,5,True
ResNet50-ImageNet,Metadata-Only,Pneumothorax,0.6426654829717598,0.004252229969400627,5,True
ResNet50-ImageNet,Metadata-Only,Support Devices,0.6091764804845223,0.003989141684430241,5,False
ResNet50-ImageNet,Metadata-Only,MEAN,0.6464994885590066,0.0012288188337787646,5,True
ResNet50-ImageNet,Late Fusion,Atelectasis,0.7502988414240653,0.005180336956557143,5,False
ResNet50-ImageNet,Late Fusion,Cardiomegaly,0.8248693622225183,0.004344004522761808,5,True
ResNet50-ImageNet,Late Fusion,Consolidation,0.8654298667262857,0.0019624240186867778,5,True
ResNet50-ImageNet,Late Fusion,Edema,0.8804331516887854,0.0013212296926563046,5,True
ResNet50-ImageNet,Late Fusion,Enlarged Cardiomediastinum,0.7855188058478634,0.0015927842965610273,5,True
ResNet50-ImageNet,Late Fusion,Lung Opacity,0.7225154564448045,0.003047531093092128,5,False
ResNet50-ImageNet,Late Fusion,Pleural Effusion,0.858141944145965,0.001779516413441183,5,True
ResNet50-ImageNet,Late Fusion,Pneumonia,0.749653349983807,0.0007422105658834709,5,True
ResNet50-ImageNet,Late Fusion,Pneumothorax,0.706720168865451,0.004481153216221638,5,True
ResNet50-ImageNet,Late Fusion,Support Devices,0.7306931534600718,0.007341159020614604,5,False
ResNet50-ImageNet,Late Fusion,MEAN,0.7874274100809617,0.0024112525996280126,5,True
