attribute,disease,events_black,n_black,events_white,n_white,odds_ratio,log_or,abs_log_or
race_black_vs_white,Atelectasis,4048,4214,22490,23194,0.7616611297943416,-0.2722535337649833,0.2722535337649833
race_black_vs_white,Cardiomegaly,5539,6918,20731,27866,1.3821097998200416,0.3236111721316416,0.3236111721316416
race_black_vs_white,Consolidation,997,2052,5144,8547,0.6252263170865999,-0.46964158745221557,0.46964158745221557
race_black_vs_white,Edema,2769,5379,13395,24836,0.9061533662886144,-0.09854670880088592,0.09854670880088592
race_black_vs_white,Enlarged Cardiomediastinum,658,1112,3426,5720,0.9701954144050039,-0.03025776962518798,0.03025776962518798
race_black_vs_white,Lung Opacity,5151,5448,24609,25938,0.9354752152999601,-0.06670062715186532,0.06670062715186532
race_black_vs_white,Pleural Effusion,4027,6980,27925,39649,0.5725216932715456,-0.5577046520942606,0.5577046520942606
race_black_vs_white,Pneumonia,1696,4286,7578,17880,0.8902861877376186,-0.11621230868929736,0.11621230868929736
race_black_vs_white,Pneumothorax,634,4403,5190,25631,0.6629052288086538,-0.4111232419869679,0.4111232419869679
race_black_vs_white,Support Devices,5893,6191,32662,34275,0.975323075384577,-0.024986503502884,0.024986503502884
