model,attribute,disease,auroc_baseline,auroc_residualized,auroc_drop
RAD-DINO,race_black_vs_white,Atelectasis,0.6885713705418799,0.6860063435968262,0.0025650269450536722
RAD-DINO,race_black_vs_white,Cardiomegaly,0.8773168585910408,0.8772744544670261,4.24041240146833e-05
RAD-DINO,race_black_vs_white,Consolidation,0.9132075529154,0.9101852295937983,0.003022323321601683
RAD-DINO,race_black_vs_white,Edema,0.9062474660879001,0.9059152251763428,0.00033224091155725777
RAD-DINO,race_black_vs_white,Enlarged Cardiomediastinum,0.7709101281376163,0.7705472515899057,0.00036287654771061106
RAD-DINO,race_black_vs_white,Lung Opacity,0.764899192522837,0.7637920085850853,0.0011071839377516657
RAD-DINO,race_black_vs_white,Pleural Effusion,0.9152447431593101,0.9123846677499647,0.0028600754093454084
RAD-DINO,race_black_vs_white,Pneumonia,0.7898072457203662,0.7882399039463941,0.0015673417739721085
RAD-DINO,race_black_vs_white,Pneumothorax,0.76856985312825,0.7683340120177753,0.00023584111047469936
RAD-DINO,race_black_vs_white,Support Devices,0.8119714943367239,0.8096354447309011,0.0023360496058227875
CheXzero,race_black_vs_white,Atelectasis,0.7643484103772308,0.762564485335933,0.0017839250412977625
CheXzero,race_black_vs_white,Cardiomegaly,0.8768262942487469,0.8766422237802328,0.00018407046851409703
CheXzero,race_black_vs_white,Consolidation,0.9064252157687627,0.9034112666427623,0.0030139491260003926
CheXzero,race_black_vs_white,Edema,0.9063420944112861,0.9062143027672274,0.000127791644058739
CheXzero,race_black_vs_white,Enlarged Cardiomediastinum,0.7772562482278121,0.7762520084794967,0.0010042397483154275
CheXzero,race_black_vs_white,Lung Opacity,0.7633670206045331,0.7607042822051462,0.0026627383993869103
CheXzero,race_black_vs_white,Pleural Effusion,0.9232416745174161,0.9211595082585667,0.0020821662588493828
CheXzero,race_black_vs_white,Pneumonia,0.7928110777991071,0.7920750382848392,0.0007360395142679277
CheXzero,race_black_vs_white,Pneumothorax,0.7251135288637769,0.7242378248933135,0.0008757039704634373
CheXzero,race_black_vs_white,Support Devices,0.7832088490244353,0.7823743482189487,0.0008345008054866376
CheSS-ResNet50,race_black_vs_white,Atelectasis,0.6161531535191054,0.615454139247705,0.0006990142714004
CheSS-ResNet50,race_black_vs_white,Cardiomegaly,0.8484413045075844,0.8486741353651093,-0.00023283085752490162
CheSS-ResNet50,race_black_vs_white,Consolidation,0.8297084485736841,0.8240756600959682,0.0056327884777158665
CheSS-ResNet50,race_black_vs_white,Edema,0.8707639283776452,0.8704288225718936,0.0003351058057515788
CheSS-ResNet50,race_black_vs_white,Enlarged Cardiomediastinum,0.7108059572514548,0.7103435006278608,0.00046245662359400974
CheSS-ResNet50,race_black_vs_white,Lung Opacity,0.6573706699221731,0.6552391664984764,0.0021315034236967234
CheSS-ResNet50,race_black_vs_white,Pleural Effusion,0.870637017178915,0.8676993405370546,0.0029376766418603983
CheSS-ResNet50,race_black_vs_white,Pneumonia,0.7335603462531185,0.7330798984822666,0.0004804477708518773
CheSS-ResNet50,race_black_vs_white,Pneumothorax,0.6474054774201894,0.6474951830042441,-8.970558405474449e-05
CheSS-ResNet50,race_black_vs_white,Support Devices,0.6489968029224108,0.6473612366086109,0.0016355663137999077
