model,disease,race_group,n,n_pos,auroc
ResNet50-ImageNet,Atelectasis,White,5340,5179,0.6182612773275735
ResNet50-ImageNet,Atelectasis,Black,826,789,0.6362141609289897
ResNet50-ImageNet,Atelectasis,Asian,197,192,0.47291666666666665
ResNet50-ImageNet,Atelectasis,Other,620,602,0.7165928386858619
ResNet50-ImageNet,Cardiomegaly,White,6459,4779,0.781461802130352
ResNet50-ImageNet,Cardiomegaly,Black,1333,1039,0.7795761230382432
ResNet50-ImageNet,Cardiomegaly,Asian,281,194,0.7512738476122763
ResNet50-ImageNet,Cardiomegaly,Other,748,529,0.777351943444597
ResNet50-ImageNet,Consolidation,White,1925,1217,0.8101390842536756
ResNet50-ImageNet,Consolidation,Black,419,200,0.8183789954337899
ResNet50-ImageNet,Consolidation,Asian,106,72,0.7753267973856209
ResNet50-ImageNet,Consolidation,Other,236,113,0.8435858694870134
ResNet50-ImageNet,Edema,White,5718,3131,0.8673569552798017
ResNet50-ImageNet,Edema,Black,1093,555,0.8654543018855286
ResNet50-ImageNet,Edema,Asian,228,117,0.8205128205128205
ResNet50-ImageNet,Edema,Other,685,319,0.8370077256453741
ResNet50-ImageNet,Enlarged Cardiomediastinum,White,1346,816,0.6914354421013689
ResNet50-ImageNet,Enlarged Cardiomediastinum,Black,223,120,0.6537216828478964
ResNet50-ImageNet,Enlarged Cardiomediastinum,Asian,71,50,0.7352380952380952
ResNet50-ImageNet,Enlarged Cardiomediastinum,Other,194,106,0.7021869639794168
ResNet50-ImageNet,Lung Opacity,White,5827,5535,0.633322196235661
ResNet50-ImageNet,Lung Opacity,Black,1098,1018,0.6523821218074657
ResNet50-ImageNet,Lung Opacity,Asian,293,278,0.767146282973621
ResNet50-ImageNet,Lung Opacity,Other,681,628,0.6452649921884388
ResNet50-ImageNet,Pleural Effusion,White,9135,6451,0.8465887865904638
ResNet50-ImageNet,Pleural Effusion,Black,1390,804,0.830939160851035
ResNet50-ImageNet,Pleural Effusion,Asian,387,266,0.8326290933946436
ResNet50-ImageNet,Pleural Effusion,Other,1046,635,0.8519071977316703
ResNet50-ImageNet,Pneumonia,White,3927,1635,0.7262124341546984
ResNet50-ImageNet,Pneumonia,Black,872,324,0.7180656934306568
ResNet50-ImageNet,Pneumonia,Asian,227,105,0.6179547228727557
