model,disease,n_groups,max_auroc_race_group,min_auroc_race_group,auroc_max,auroc_min,gap_maxmin
BiomedCLIP,Atelectasis,4,Black,Asian,0.7152742095707875,0.48750000000000004,0.22777420957078742
BiomedCLIP,Cardiomegaly,4,Black,Asian,0.8701950462571939,0.8099893352292926,0.06020571102790129
BiomedCLIP,Consolidation,4,Other,Black,0.9045974530541765,0.8875114155251141,0.017086037529062348
BiomedCLIP,Edema,4,White,Other,0.8880785768016556,0.8712506637888209,0.016827913012834705
BiomedCLIP,Enlarged Cardiomediastinum,4,Other,Asian,0.7910591766723841,0.7666666666666667,0.024392510005717405
BiomedCLIP,Lung Opacity,4,Asian,Black,0.8035971223021582,0.7263015717092338,0.07729555059292437
BiomedCLIP,Pleural Effusion,4,Other,Black,0.9023430465352414,0.861783234000645,0.040559812534596396
BiomedCLIP,Pneumonia,4,Black,Asian,0.7853586554924755,0.7404371584699454,0.04492149702253012
BiomedCLIP,Pneumothorax,4,Asian,White,0.7498561978717285,0.6948058246918705,0.05505037317985806
BiomedCLIP,Support Devices,4,Asian,White,0.8540247678018577,0.745390791042986,0.10863397675887165
CLIP-ViT-B16,Atelectasis,4,White,Asian,0.6945883938840444,0.5635416666666666,0.13104672721737776
CLIP-ViT-B16,Cardiomegaly,4,Other,White,0.7967043875322612,0.7718866768301796,0.024817710702081608
CLIP-ViT-B16,Consolidation,4,Other,White,0.8737319231599396,0.8301382486339939,0.04359367452594576
CLIP-ViT-B16,Edema,4,White,Other,0.851104156015811,0.8158435685287013,0.035260587487109696
CLIP-ViT-B16,Enlarged Cardiomediastinum,4,Asian,White,0.7723809523809523,0.7490982241953386,0.02328272818561372
CLIP-ViT-B16,Lung Opacity,4,Asian,White,0.7774580335731414,0.6890553266263256,0.08840270694681573
CLIP-ViT-B16,Pleural Effusion,4,Other,Black,0.8395271758913347,0.8153154874093697,0.024211688481965088
CLIP-ViT-B16,Pneumonia,4,Black,Asian,0.7236640533477516,0.6333333333333334,0.09033072001441822
CLIP-ViT-B16,Pneumothorax,4,Asian,Other,0.7275668679896463,0.6340506329113925,0.0935162350782538
CLIP-ViT-B16,Support Devices,4,Other,Black,0.7681189251000573,0.7036670691084702,0.06445185599158709
ConvNeXtV2-Base,Atelectasis,4,Asian,Black,0.6510416666666666,0.5999725961703148,0.05106907049635179
ConvNeXtV2-Base,Cardiomegaly,4,Black,Asian,0.8189291115868869,0.7573764664059722,0.061552645180914634
ConvNeXtV2-Base,Consolidation,4,Other,Asian,0.8772573566443629,0.7888071895424836,0.08845016710187925
ConvNeXtV2-Base,Edema,4,Black,Asian,0.8813490069995644,0.8459228459228458,0.03542616107671859
ConvNeXtV2-Base,Enlarged Cardiomediastinum,4,Other,Asian,0.7412092624356775,0.7,0.041209262435677574
ConvNeXtV2-Base,Lung Opacity,4,Asian,Black,0.7868105515587529,0.6455058939096266,0.14130465764912625
ConvNeXtV2-Base,Pleural Effusion,4,Other,Asian,0.8683909036917832,0.8356738954825079,0.032717008209275256
ConvNeXtV2-Base,Pneumonia,4,White,Asian,0.740965250759189,0.6524590163934426,0.08850623436574634
ConvNeXtV2-Base,Pneumothorax,4,Black,White,0.7552597220156345,0.6881856753225883,0.06707404669304617
ConvNeXtV2-Base,Support Devices,4,Asian,Black,0.8414860681114551,0.7213114754098361,0.12017459270161901
DINOv2-base,Atelectasis,4,Black,Asian,0.7185626691330114,0.5614583333333333,0.15710433579967809
DINOv2-base,Cardiomegaly,4,Black,Asian,0.8247857372015215,0.7740846071809456,0.05070113002057586
DINOv2-base,Consolidation,4,Other,Black,0.8796316281746888,0.8545205479452055,0.025111080229483274
DINOv2-base,Edema,4,White,Other,0.8910879977856508,0.867190845709783,0.023897152075867845
DINOv2-base,Enlarged Cardiomediastinum,4,Black,Asian,0.7843042071197411,0.7552380952380953,0.029066111881645873
DINOv2-base,Lung Opacity,4,Other,Black,0.7534551135680807,0.6896856581532416,0.06376945541483914
DINOv2-base,Pleural Effusion,4,Other,Black,0.8869283675307009,0.8551292173942574,0.03179915013644352
DINOv2-base,Pneumonia,4,Other,Asian,0.7488240418118467,0.7096018735362998,0.03922216827554692
DINOv2-base,Pneumothorax,4,Black,White,0.7477234039036805,0.6962689159544301,0.05145448794925045
DINOv2-base,Support Devices,4,Asian,Black,0.7815789473684212,0.6979940942877507,0.08358485308067043
ResNet50-ImageNet,Atelectasis,4,Other,Asian,0.7165928386858619,0.47291666666666665,0.24367617201919523
ResNet50-ImageNet,Cardiomegaly,4,White,Asian,0.781461802130352,0.7512738476122763,0.030187954518075655
ResNet50-ImageNet,Consolidation,4,Other,Asian,0.8435858694870134,0.7753267973856209,0.06825907210139248
ResNet50-ImageNet,Edema,4,White,Asian,0.8673569552798017,0.8205128205128205,0.04684413476698124
ResNet50-ImageNet,Enlarged Cardiomediastinum,4,Asian,Black,0.7352380952380952,0.6537216828478964,0.0815164123901988
ResNet50-ImageNet,Lung Opacity,4,Asian,White,0.767146282973621,0.633322196235661,0.13382408673795998
ResNet50-ImageNet,Pleural Effusion,4,Other,Black,0.8519071977316703,0.830939160851035,0.02096803688063531
ResNet50-ImageNet,Pneumonia,4,White,Asian,0.7262124341546984,0.6179547228727557,0.10825771128194273
ResNet50-ImageNet,Pneumothorax,4,Other,Asian,0.7150090415913201,0.6510641357492091,0.06394490584211099
ResNet50-ImageNet,Support Devices,4,Asian,White,0.7318885448916409,0.6828132693965212,0.0490752754951197
XRV-DenseNet-nih,Atelectasis,4,White,Black,0.6796714874571101,0.5537628883636488,0.1259085990934613
XRV-DenseNet-nih,Cardiomegaly,4,Other,Asian,0.8198720770645053,0.746948690603152,0.07292338646135321
XRV-DenseNet-nih,Consolidation,4,Asian,Black,0.8255718954248366,0.7795205479452054,0.04605134747963113
XRV-DenseNet-nih,Edema,4,Black,Other,0.8533976355537695,0.7983538037240695,0.05504383182969996
XRV-DenseNet-nih,Enlarged Cardiomediastinum,4,Other,Asian,0.8103559176672385,0.680952380952381,0.1294035367148575
XRV-DenseNet-nih,Lung Opacity,4,Asian,Black,0.759232613908873,0.6032170923379175,0.15601552157095544
XRV-DenseNet-nih,Pleural Effusion,4,Other,Asian,0.8069659175814702,0.7613247996023116,0.045641117979158596
XRV-DenseNet-nih,Pneumonia,4,Black,Asian,0.7120167612868342,0.6562060889929743,0.05581067229385994
XRV-DenseNet-nih,Pneumothorax,4,Asian,Other,0.7044147253379349,0.6174864376130199,0.08692828772491501
XRV-DenseNet-nih,Support Devices,4,Asian,Black,0.7047987616099071,0.6474755262047799,0.05732323540512718
