model,disease,baseline_auroc,linear_resid_auroc,mlp_resid_auroc,linear_drop,mlp_drop,extra_mlp_drop,linear_r2,mlp_r2
ResNet50-ImageNet,Cardiomegaly,0.830178069353327,0.781943142767885,0.7922524211184006,0.048234926585442,0.0379256482349265,-0.0103092783505155,0.0579810977983076,0.0647415427422963
ResNet50-ImageNet,Edema,0.8270707070707072,0.8241414141414142,0.8185858585858586,0.002929292929293,0.0084848484848485,0.0055555555555555,0.0579810977983076,0.0647415427422963
ResNet50-ImageNet,Pleural Effusion,0.8372102649006622,0.8121274834437086,0.8151903973509934,0.0250827814569536,0.0220198675496687,-0.0030629139072848,0.0579810977983076,0.0647415427422963
ResNet50-ImageNet,Pneumonia,0.7110576923076923,0.6924679487179488,0.6780448717948717,0.0185897435897435,0.0330128205128206,0.014423076923077,0.0579810977983076,0.0647415427422963
ResNet50-ImageNet,Pneumothorax,0.637984496124031,0.6317829457364341,0.6080103359173127,0.0062015503875968,0.0299741602067182,0.0237726098191214,0.0579810977983076,0.0647415427422963
DINOv2-base,Cardiomegaly,0.8219306466729148,0.7609497032177445,0.7636363636363636,0.0609809434551703,0.0582942830365512,-0.002686660418619,0.0618542238383022,0.0674445035481656
DINOv2-base,Edema,0.8531313131313132,0.8453535353535354,0.8262626262626264,0.0077777777777777,0.0268686868686868,0.019090909090909,0.0618542238383022,0.0674445035481656
DINOv2-base,Pleural Effusion,0.873841059602649,0.8524006622516557,0.8436672185430464,0.0214403973509933,0.0301738410596026,0.0087334437086092,0.0618542238383022,0.0674445035481656
DINOv2-base,Pneumonia,0.7052083333333333,0.721153846153846,0.7069711538461538,-0.0159455128205127,-0.0017628205128205,0.0141826923076922,0.0618542238383022,0.0674445035481656
DINOv2-base,Pneumothorax,0.5950904392764857,0.6242894056847546,0.6186046511627907,-0.0291989664082688,-0.0235142118863049,0.0056847545219638,0.0618542238383022,0.0674445035481656
XRV-DenseNet-nih,Cardiomegaly,0.8411746329272102,0.7885660731021555,0.7034051858794127,0.0526085598250546,0.1377694470477974,0.0851608872227428,0.0955194686914691,-154.5929962061297
