attribute,attribute_type,model,disease,auroc_baseline,auroc_residualized,auroc_drop,log_or,abs_log_or,odds_ratio,erank,norm_erank,log_erank,abs_log_or_z,log_erank_z,interaction_z,predicted_drop,residual
sex,demographic,ResNet50-ImageNet,Atelectasis,0.616978,0.617585,-0.000607,0.07882910554079287,0.07882910554079287,1.082019395149886,109.3609803716064,0.05339891619707344,4.694654157002491,-0.6356867392903989,0.8833138210534802,-0.5615108826756298,0.0007173624559296153,-0.0013243624559296152
sex,demographic,ResNet50-ImageNet,Cardiomegaly,0.782652,0.78274,-8.8e-05,-0.09405993699740053,0.09405993699740053,0.9102282042602499,109.3609803716064,0.05339891619707344,4.694654157002491,-0.5577195994675384,0.8833138210534802,-0.49264143048208786,0.0011793884944986052,-0.0012673884944986052
sex,demographic,ResNet50-ImageNet,Consolidation,0.800031,0.796652,0.003379,0.2747962991139378,0.2747962991139378,1.316262523714864,109.3609803716064,0.05339891619707344,4.694654157002491,0.3674759327896209,0.8833138210534802,0.32459657033759187,0.006662011400016144,-0.003283011400016144
sex,demographic,ResNet50-ImageNet,Edema,0.858816,0.858777,3.8e-05,0.014493927574757521,0.014493927574757521,1.0145994738532362,109.3609803716064,0.05339891619707344,4.694654157002491,-0.9650206847350099,0.8833138210534802,-0.8524161084289275,-0.0012342399566479837,0.0012722399566479838
sex,demographic,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.664323,0.665609,-0.001286,0.03783150514632934,0.03783150514632934,1.0385562267556403,109.3609803716064,0.05339891619707344,4.694654157002491,-0.8455548381833298,0.8833138210534802,-0.7468902750259742,-0.0005262964313119461,-0.0007597035686880539
sex,demographic,ResNet50-ImageNet,Lung Opacity,0.646126,0.646043,8.3e-05,0.05034743655566229,0.05034743655566229,1.0516364098427677,109.3609803716064,0.05339891619707344,4.694654157002491,-0.7814853632511884,0.8833138210534802,-0.6902968223107743,-0.0001466266657755037,0.0002296266657755037
sex,demographic,ResNet50-ImageNet,Pleural Effusion,0.850925,0.851384,-0.00046,0.04215680520892045,0.04215680520892045,1.0430580228593347,109.3609803716064,0.05339891619707344,4.694654157002491,-0.8234134813101588,0.8833138210534802,-0.7273325084830248,-0.00039508880425398896,-6.491119574601105e-05
sex,demographic,ResNet50-ImageNet,Pneumonia,0.710925,0.710606,0.000319,0.14219674375050403,0.14219674375050403,1.1528034330980725,109.3609803716064,0.05339891619707344,4.694654157002491,-0.3113056624846683,0.8833138210534802,-0.2749805942449174,0.0026396146283679247,-0.002320614628367925
sex,demographic,ResNet50-ImageNet,Pneumothorax,0.672481,0.67174,0.000741,0.14289913844303473,0.14289913844303473,1.1536134405501774,109.3609803716064,0.05339891619707344,4.694654157002491,-0.3077100803682621,0.8833138210534802,-0.2718045668667631,0.0026609217144732637,-0.0019199217144732638
sex,demographic,ResNet50-ImageNet,Support Devices,0.680371,0.68024,0.000131,0.03434955381642698,0.03434955381642698,1.0349463129400267,109.3609803716064,0.05339891619707344,4.694654157002491,-0.8633790644554362,0.8833138210534802,-0.7626346604417104,-0.0006319211428733682,0.0007629211428733683
age,demographic,ResNet50-ImageNet,Atelectasis,0.616978,0.608935,0.008042,0.008299791598117607,0.008299791598117607,1.0083343303571106,109.3609803716064,0.05339891619707344,4.694654157002491,-0.9967286756709202,0.8833138210534802,-0.8804242150604555,-0.0014221385697866006,0.0094641385697866
age,demographic,ResNet50-ImageNet,Cardiomegaly,0.782652,0.750706,0.031946,0.5927949816694053,0.5927949816694053,1.8090375828289462,109.3609803716064,0.05339891619707344,4.694654157002491,1.995321911974907,0.8833138210534802,1.7624954222982911,0.016308475678072344,0.015637524321927658
age,demographic,ResNet50-ImageNet,Consolidation,0.800031,0.795995,0.004037,0.04080488365008132,0.04080488365008132,1.0416488429960586,109.3609803716064,0.05339891619707344,4.694654157002491,-0.8303340133577917,0.8833138210534802,-0.7334455100897425,-0.0004360992352384031,0.004473099235238403
age,demographic,ResNet50-ImageNet,Edema,0.858816,0.847328,0.011487,0.3451058427560672,0.3451058427560672,1.4121393764816168,109.3609803716064,0.05339891619707344,4.694654157002491,0.7273928575908079,0.8833138210534802,0.6425161644455465,0.00879484571146626,0.0026921542885337407
age,demographic,ResNet50-ImageNet,Enlarged Cardiomediastinum,0.664323,0.645484,0.01884,0.19777791051139573,0.19777791051139573,1.2186917051466384,109.3609803716064,0.05339891619707344,4.694654157002491,-0.026783795591830667,0.8833138210534802,-0.023658496826535307,0.0043256648200950725,0.014514335179904927
age,demographic,ResNet50-ImageNet,Lung Opacity,0.646126,0.630476,0.01565,0.12523913534824602,0.12523913534824602,1.1334194613192998,109.3609803716064,0.05339891619707344,4.694654157002491,-0.3981122317206883,0.8833138210534802,-0.35165803660932976,0.0021252069510181463,0.013524793048981854
age,demographic,ResNet50-ImageNet,Pleural Effusion,0.850925,0.829423,0.021502,0.6285128784075926,0.6285128784075926,1.8748204191976376,109.3609803716064,0.05339891619707344,4.694654157002491,2.1781630298152987,0.8833138210534802,1.9240015087435771,0.017391975182546315,0.004110024817453685
age,demographic,ResNet50-ImageNet,Pneumonia,0.710925,0.709019,0.001906,0.04667562312908584,0.04667562312908584,1.047782077677937,109.3609803716064,0.05339891619707344,4.694654157002491,-0.8002814999984796,0.8833138210534802,-0.7068997096820677,-0.0002580108286610802,0.00216401082866108
age,demographic,ResNet50-ImageNet,Pneumothorax,0.672481,0.679331,-0.006849,-0.14034426449037196,0.14034426449037196,0.869058997740351,109.3609803716064,0.05339891619707344,4.694654157002491,-0.3207885662844478,0.8833138210534802,-0.2833569742349832,0.002583419820058972,-0.009432419820058973
