policy,attribute,finding,abs_log_or
U-Ignore,gender_binary,Atelectasis,0.06932217822444406
U-Ignore,gender_binary,Cardiomegaly,0.09425601870751164
U-Ignore,gender_binary,Consolidation,0.3436382581177514
U-Ignore,gender_binary,Edema,0.010059009370484574
U-Ignore,gender_binary,Enlarged Cardiomediastinum,0.08588748476633848
U-Ignore,gender_binary,Lung Opacity,0.04040854624488755
U-Ignore,gender_binary,Pleural Effusion,0.041591565569465125
U-Ignore,gender_binary,Pneumonia,0.21945207437102868
U-Ignore,gender_binary,Pneumothorax,0.14315529378652103
U-Ignore,gender_binary,Support Devices,0.041260979430661926
U-Ignore,hypertension,Atelectasis,0.051999461035290406
U-Ignore,hypertension,Cardiomegaly,0.2420768725711158
U-Ignore,hypertension,Consolidation,0.10643853182502358
U-Ignore,hypertension,Edema,0.019683903149950787
U-Ignore,hypertension,Enlarged Cardiomediastinum,0.37950173008797217
U-Ignore,hypertension,Lung Opacity,0.08941215859220775
U-Ignore,hypertension,Pleural Effusion,0.09133974513075559
U-Ignore,hypertension,Pneumonia,0.012989786093725473
U-Ignore,hypertension,Pneumothorax,0.25026182997440255
U-Ignore,hypertension,Support Devices,0.11292887548097398
U-Ignore,heart_failure,Atelectasis,0.35638492295006907
U-Ignore,heart_failure,Cardiomegaly,1.5444831603690856
U-Ignore,heart_failure,Consolidation,0.24653346390459127
U-Ignore,heart_failure,Edema,1.0344647939653837
U-Ignore,heart_failure,Enlarged Cardiomediastinum,0.9790049732972358
U-Ignore,heart_failure,Lung Opacity,0.3518478883668444
U-Ignore,heart_failure,Pleural Effusion,0.7065702668392052
U-Ignore,heart_failure,Pneumonia,0.2932091878939768
U-Ignore,heart_failure,Pneumothorax,0.466633635566138
U-Ignore,heart_failure,Support Devices,0.24160503160542476
U-Ignore,atrial_fibrillation,Atelectasis,0.5023941183795544
U-Ignore,atrial_fibrillation,Cardiomegaly,1.2729599320000968
U-Ignore,atrial_fibrillation,Consolidation,0.40639057879148965
U-Ignore,atrial_fibrillation,Edema,0.7113511048978776
U-Ignore,atrial_fibrillation,Enlarged Cardiomediastinum,0.9863749798358556
U-Ignore,atrial_fibrillation,Lung Opacity,0.3464859740537654
U-Ignore,atrial_fibrillation,Pleural Effusion,0.8219329106016329
U-Ignore,atrial_fibrillation,Pneumonia,0.2441908667109722
U-Ignore,atrial_fibrillation,Pneumothorax,0.1490665392784247
U-Ignore,atrial_fibrillation,Support Devices,0.2709859701382915
U-Ignore,coronary_artery_disease,Atelectasis,0.18873007196301728
U-Ignore,coronary_artery_disease,Cardiomegaly,0.9319690486334598
U-Ignore,coronary_artery_disease,Consolidation,0.006159043828560448
U-Ignore,coronary_artery_disease,Edema,0.5171191924204436
