model,attribute,disease,auroc_baseline,auroc_residualized,auroc_drop
ResNet50-ImageNet,sex,Atelectasis,0.4795031712473573,0.4786481089969462,0.0008550622504110983
ResNet50-ImageNet,sex,Cardiomegaly,0.5149855192544628,0.5147481091984827,0.0002374100559801029
ResNet50-ImageNet,sex,Consolidation,0.49824683131369385,0.49792937833586043,0.0003174529778334212
ResNet50-ImageNet,sex,Edema,0.5024560805129185,0.501909791442668,0.0005462890702504497
ResNet50-ImageNet,sex,Enlarged Cardiomediastinum,0.5081958795537252,0.5082811075259246,-8.522797219934208e-05
ResNet50-ImageNet,sex,Lung Opacity,0.4872791623819166,0.4874316569048881,-0.00015249452297150246
ResNet50-ImageNet,sex,Pleural Effusion,0.5141245753051836,0.5140391458273048,8.542947787881783e-05
ResNet50-ImageNet,sex,Pneumonia,0.48767092976943843,0.4872416692481303,0.0004292605213081502
ResNet50-ImageNet,sex,Pneumothorax,0.5083196562835661,0.5083439425631748,-2.428627960870955e-05
ResNet50-ImageNet,sex,Support Devices,0.5276086264753529,0.5276946887294607,-8.606225410778823e-05
ResNet50-ImageNet,race_black_vs_white,Atelectasis,0.4931796047318162,0.4970960615706209,-0.003916456838804705
ResNet50-ImageNet,race_black_vs_white,Cardiomegaly,0.507214544950084,0.5069996510255419,0.00021489392454210332
ResNet50-ImageNet,race_black_vs_white,Consolidation,0.4972125286163819,0.497555153520994,-0.00034262490461212103
ResNet50-ImageNet,race_black_vs_white,Edema,0.5021256328031836,0.5021837171021895,-5.8084299005889406e-05
ResNet50-ImageNet,race_black_vs_white,Enlarged Cardiomediastinum,0.5207314515697228,0.5205708204679719,0.00016063110175090767
ResNet50-ImageNet,race_black_vs_white,Lung Opacity,0.505578644060302,0.5056371452290536,-5.8501168751612376e-05
ResNet50-ImageNet,race_black_vs_white,Pleural Effusion,0.5088462989117117,0.5089664507080697,-0.00012015179635793682
ResNet50-ImageNet,race_black_vs_white,Pneumonia,0.5041241931243976,0.5039489441247773,0.00017524899962029217
ResNet50-ImageNet,race_black_vs_white,Pneumothorax,0.5027888211754243,0.5028832712868755,-9.445011145114979e-05
ResNet50-ImageNet,race_black_vs_white,Support Devices,0.5140860745370985,0.5147907707880777,-0.000704696250979131
ResNet50-ImageNet,age,Atelectasis,0.4795031712473573,0.48025135071646696,-0.0007481794691096555
ResNet50-ImageNet,age,Cardiomegaly,0.5149855192544628,0.5153897185914262,-0.0004041993369634511
ResNet50-ImageNet,age,Consolidation,0.49824683131369385,0.499250130080772,-0.0010032987670781646
ResNet50-ImageNet,age,Edema,0.5024560805129185,0.5035760581398205,-0.00111997762690208
ResNet50-ImageNet,age,Enlarged Cardiomediastinum,0.5081958795537252,0.5078326610845502,0.00036321846917508616
ResNet50-ImageNet,age,Lung Opacity,0.4872791623819166,0.4876940911965152,-0.0004149288145985919
ResNet50-ImageNet,age,Pleural Effusion,0.5141245753051836,0.5155825445979516,-0.00145796929276798
ResNet50-ImageNet,age,Pneumonia,0.48767092976943843,0.48731690047351417,0.000354029295924263
ResNet50-ImageNet,age,Pneumothorax,0.5083196562835661,0.5091706710384984,-0.0008510147549323221
ResNet50-ImageNet,age,Support Devices,0.5276086264753529,0.5287230965054386,-0.0011144700300856902
ResNet50-ImageNet,bmi,Atelectasis,0.49908558391351976,0.5047259920509176,-0.0056404081373978565
ResNet50-ImageNet,bmi,Cardiomegaly,0.5073395074285025,0.506636728520628,0.0007027789078745128
ResNet50-ImageNet,bmi,Consolidation,0.4960680460712997,0.49635495645075095,-0.0002869103794512773
ResNet50-ImageNet,bmi,Edema,0.4889488674892416,0.4889263702009846,2.249728825698405e-05
ResNet50-ImageNet,bmi,Enlarged Cardiomediastinum,0.514423664588681,0.5140361813959173,0.0003874831927637157
ResNet50-ImageNet,bmi,Lung Opacity,0.48988778461081794,0.4905120838551066,-0.0006242992442886397
ResNet50-ImageNet,bmi,Pleural Effusion,0.5089993411697056,0.5089115177528724,8.782341683322148e-05
ResNet50-ImageNet,bmi,Pneumonia,0.5086122090469917,0.5083926218708827,0.0002195871761089263
ResNet50-ImageNet,bmi,Pneumothorax,0.50136619724999,0.5014089408355378,-4.2743585547788676e-05
