model,disease,n_groups,auroc_max,auroc_min,gap_maxmin
ResNet50-ImageNet,Atelectasis,4,0.5171252105558675,0.30887372013651876,0.2082514904193487
ResNet50-ImageNet,Cardiomegaly,4,0.515800326409084,0.45122200538983365,0.06457832101925037
ResNet50-ImageNet,Consolidation,4,0.542942313889784,0.46581151389535136,0.07713079999443262
ResNet50-ImageNet,Edema,4,0.5216826873988069,0.47697467132742355,0.044708016071383305
ResNet50-ImageNet,Enlarged Cardiomediastinum,4,0.5585145533623286,0.46976744186046515,0.08874711150186343
ResNet50-ImageNet,Lung Opacity,4,0.552653842728649,0.4625262182332569,0.09012762449539213
ResNet50-ImageNet,Pleural Effusion,4,0.5254321748269489,0.5014509282525432,0.0239812465744057
ResNet50-ImageNet,Pneumonia,4,0.5022348203575713,0.444015444015444,0.05821937634212726
ResNet50-ImageNet,Pneumothorax,4,0.519786460859358,0.494298449121919,0.025488011737438976
ResNet50-ImageNet,Support Devices,4,0.5714606867869386,0.5145597807468312,0.056900906040107446
DINOv2-base,Atelectasis,4,0.5005688282138794,0.4423076923076923,0.05826113590618709
DINOv2-base,Cardiomegaly,4,0.5081347986296367,0.4618901589071647,0.046244639722472
DINOv2-base,Consolidation,4,0.5336108374384236,0.4906139220109572,0.04299691542746642
DINOv2-base,Edema,4,0.517224895139403,0.4592820572662164,0.05794283787318655
DINOv2-base,Enlarged Cardiomediastinum,4,0.5040090246442207,0.47854740968513426,0.025461614959086443
DINOv2-base,Lung Opacity,4,0.5265553320501875,0.4750459327187292,0.05150939933145826
DINOv2-base,Pleural Effusion,4,0.5536854908853694,0.49057049108340856,0.06311499980196089
DINOv2-base,Pneumonia,4,0.6023166023166023,0.5072654061624651,0.09505119615413726
DINOv2-base,Pneumothorax,4,0.5549522383653501,0.47091582707383983,0.0840364112915103
DINOv2-base,Support Devices,4,0.5449517936671071,0.5055639858371269,0.03938780782998019
BiomedCLIP,Atelectasis,4,0.6638225255972696,0.49564851207186966,0.16817401352539996
BiomedCLIP,Cardiomegaly,4,0.5295686869200574,0.5014403865811727,0.028128300338884693
BiomedCLIP,Consolidation,4,0.522357396068321,0.5032857142857143,0.019071681782606653
BiomedCLIP,Edema,4,0.5317820133234641,0.4858438963198507,0.04593811700361339
BiomedCLIP,Enlarged Cardiomediastinum,4,0.5364335898293744,0.5170649691607775,0.019368620668596903
BiomedCLIP,Lung Opacity,4,0.561448036334491,0.4940693949888623,0.06737864134562871
BiomedCLIP,Pleural Effusion,4,0.5444813902076613,0.51403661779415,0.03044477241351129
BiomedCLIP,Pneumonia,4,0.5049194607871137,0.4414414414414414,0.06347801934567232
BiomedCLIP,Pneumothorax,4,0.5503131391940619,0.49594353285246273,0.05436960634159915
BiomedCLIP,Support Devices,4,0.5423573821043117,0.4431556795380023,0.09920170256630945
XRV-DenseNet-nih,Atelectasis,4,0.6729237770193401,0.49115665356541266,0.18176712345392748
XRV-DenseNet-nih,Cardiomegaly,4,0.5287950080263226,0.4909636465350242,0.0378313614912984
XRV-DenseNet-nih,Consolidation,4,0.5209474701901385,0.4758681950848103,0.04507927510532822
XRV-DenseNet-nih,Edema,4,0.5200661547002221,0.5048033546800412,0.015262800020180878
XRV-DenseNet-nih,Enlarged Cardiomediastinum,4,0.5172037366914649,0.4641270392224922,0.0530766974689727
XRV-DenseNet-nih,Lung Opacity,4,0.5342252644679527,0.4674280879864636,0.06679717648148908
XRV-DenseNet-nih,Pleural Effusion,4,0.5229621190156923,0.498946110121734,0.02401600889395833
XRV-DenseNet-nih,Pneumonia,4,0.5418275418275418,0.46258885147774037,0.07923869034980141
XRV-DenseNet-nih,Pneumothorax,4,0.5478319240312366,0.5006448385558743,0.04718708547536232
XRV-DenseNet-nih,Support Devices,4,0.5027805837630921,0.48534233837419855,0.017438245388893547
RAD-DINO,Atelectasis,4,0.7263936291240046,0.5384450994841562,0.18794852963984843
RAD-DINO,Cardiomegaly,4,0.5871201561193198,0.5018985593868243,0.08522159673249552
RAD-DINO,Consolidation,4,0.5147225526234273,0.4815501127940703,0.03317243982935697
RAD-DINO,Edema,4,0.5320973788234608,0.49929064890204783,0.032806729921412925
RAD-DINO,Enlarged Cardiomediastinum,4,0.5746435057812305,0.47935764469722314,0.09528586108400733
RAD-DINO,Lung Opacity,4,0.5686169739068484,0.45188039607824004,0.11673657782860836
RAD-DINO,Pleural Effusion,4,0.5824575073388178,0.5131053158010295,0.06935219153778838
RAD-DINO,Pneumonia,4,0.528957528957529,0.44893378226711556,0.08002374669041346
RAD-DINO,Pneumothorax,4,0.5540736210980607,0.5024230297251033,0.051650591372957355
RAD-DINO,Support Devices,4,0.557691226886978,0.500705779686805,0.05698544720017307
CheXzero,Atelectasis,4,0.608646188850967,0.4222510448191382,0.18639514403182877
CheXzero,Cardiomegaly,4,0.5230682453893561,0.49419198959204536,0.02887625579731079
CheXzero,Consolidation,4,0.5548094412249904,0.5057135436144182,0.0490958976105722
CheXzero,Edema,4,0.5390335862324205,0.4739268054319763,0.06510678080044419
CheXzero,Enlarged Cardiomediastinum,4,0.5626630980260956,0.48188129121832696,0.08078180680776864
CheXzero,Lung Opacity,4,0.5074890377852708,0.44097871582509574,0.06651032196017503
CheXzero,Pleural Effusion,4,0.5430487351864604,0.49592124182047603,0.04712749336598432
CheXzero,Pneumonia,4,0.5398428731762065,0.4375804375804375,0.10226243559576897
CheXzero,Pneumothorax,4,0.5228377451253077,0.4773414322070837,0.04549631291822398
CheXzero,Support Devices,4,0.5293636025307035,0.4078696226692116,0.12149397986149185
