model,model_group,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
ResNet50-ImageNet,clean,Atelectasis,Gender,0.0250925292988603,0.001791608024035976,0.1628982676123751,0.005448194881184587,0.06048387096774188,0.06048387096774188,0.0054481948811845315,0.01208182319478824
ResNet50-ImageNet,clean,Atelectasis,Age,0.2568645193232312,0.12194472438254994,0.4157631023054314,0.1012048644996622,0.2857142857142857,0.2857142857142857,0.10120486449966226,0.019974546282479494
ResNet50-ImageNet,clean,Atelectasis,Race,0.0765738136719456,0.012328602743854656,0.29674290835054906,0.05082445368116778,0.09090909090909094,0.09090909090909094,0.050824453681167725,0.016246020323604997
ResNet50-ImageNet,clean,Cardiomegaly,Gender,0.045183153659826614,0.023035802718933383,0.06799983294717489,0.029377847638037302,0.05677563765553062,0.05677563765553062,0.029377847638037302,0.017159073171724215
ResNet50-ImageNet,clean,Cardiomegaly,Age,0.10761326187239262,0.08102434341676491,0.13264088484302844,0.0371022685779826,0.29199016563146996,0.29199016563146996,0.0371022685779826,0.021832525980076203
ResNet50-ImageNet,clean,Cardiomegaly,Race,0.041574894004442475,0.01691172712940298,0.09238448895487077,0.051593248654890234,0.097811510257654,0.097811510257654,0.051593248654890234,0.025627200384130647
ResNet50-ImageNet,clean,Consolidation,Gender,0.0011268333669749442,0.00036311253795431875,0.019948930793305175,0.007385670073856709,0.010533790685091304,0.010533790685091304,0.007385670073856709,0.005692955371204497
ResNet50-ImageNet,clean,Consolidation,Age,0.024646899172758308,0.007037959290364109,0.04857082560952523,0.00863572433192683,0.08228057656629084,0.08228057656629084,0.00863572433192683,0.014125601152292562
ResNet50-ImageNet,clean,Consolidation,Race,0.06009973203217722,0.018914881366585794,0.12030027380597125,0.11764189070462139,0.034554485627701026,0.034554485627701026,0.11764189070462139,0.0440737982718859
ResNet50-ImageNet,clean,Edema,Gender,0.019075577895084295,0.002867690067896744,0.03753200062924784,0.0007594637045101882,0.01737640446245392,0.01737640446245392,0.0007594637045101882,0.0038531089062440425
ResNet50-ImageNet,clean,Edema,Age,0.021799932416502688,0.006502391136769203,0.044745098142358136,0.07493172114142876,0.08512894818929173,0.08512894818929173,0.07493172114142876,0.015956793070090475
ResNet50-ImageNet,clean,Edema,Race,0.039948731598983045,0.013852302273581358,0.08497276220882802,0.07963020242636698,0.03701417723413014,0.03701417723413014,0.07963020242636698,0.029979691416285904
ResNet50-ImageNet,clean,Enlarged Cardiomediastinum,Gender,0.004924664500944753,0.0005228364403452673,0.040290061325388475,0.04676418818463002,0.033298717471431094,0.033298717471431094,0.04676418818463002,0.019962418691273548
ResNet50-ImageNet,clean,Enlarged Cardiomediastinum,Age,0.044085176491335254,0.014039937058649032,0.09091107124158165,0.16474743150684934,0.2460182204964768,0.2460182204964768,0.16474743150684934,0.03900262899385547
ResNet50-ImageNet,clean,Enlarged Cardiomediastinum,Race,0.016737370678163277,0.015729754071986856,0.118825656653481,0.07741420590582604,0.05252493076017806,0.05252493076017806,0.07741420590582604,0.013234302005274298
ResNet50-ImageNet,clean,Lung Opacity,Gender,0.005898050937159005,0.0007624153998864347,0.04531626399390777,0.010547634943121276,0.020180369636429774,0.020180369636429774,0.010547634943121276,0.00025703057036105884
ResNet50-ImageNet,clean,Lung Opacity,Age,0.054363919511709824,0.01722588234533484,0.109093362283141,0.12187102396430982,0.21703923357664234,0.21703923357664234,0.12187102396430982,0.008660931487321626
ResNet50-ImageNet,clean,Lung Opacity,Race,0.018652851371236734,0.014034594248411808,0.116553113616917,0.05784891540925874,0.061881188118811936,0.061881188118811936,0.05784891540925874,0.016514544472915442
ResNet50-ImageNet,clean,Pleural Effusion,Gender,0.017243803413449,0.0067462081951295575,0.027601733362084616,0.02468160444931422,0.005125122761448275,0.005125122761448275,0.02468160444931422,0.00186398795949776
ResNet50-ImageNet,clean,Pleural Effusion,Age,0.03441324466864504,0.02040680752234223,0.04934643372227805,0.07354544218112291,0.15278846370160404,0.15278846370160404,0.07354544218112291,0.011731245282747917
ResNet50-ImageNet,clean,Pleural Effusion,Race,0.02535409681940881,0.008989139942091556,0.05200910841157143,0.07089533379504975,0.010706055351930255,0.010706055351930255,0.07089533379504975,0.04376315953576286
ResNet50-ImageNet,clean,Pneumonia,Gender,0.06213167632707861,0.004525884636471691,0.1353837345417096,0.06299461855017419,0.051896551724137874,0.051896551724137874,0.06299461855017419,0.02590466402330066
ResNet50-ImageNet,clean,Pneumonia,Age,0.050912083563901644,0.013315840371741671,0.14874330887869264,0.07379321591650367,0.08991228070175439,0.08991228070175439,0.07379321591650367,0.03499975310276715
ResNet50-ImageNet,clean,Pneumonia,Race,0.11920710868079298,0.045189028748163655,0.2879834153728744,0.12914862914862912,0.12819524727039178,0.12819524727039178,0.12914862914862912,0.12346627130430932
