model,model_group,finding,dimension,group,n,auroc,ece,sensitivity,specificity,fpr,fnr
ResNet50-ImageNet,clean,Atelectasis,Gender,Female,1807,0.6903516419645451,0.04925819701360128,0.3614864864864865,0.9354838709677419,0.06451612903225812,0.6385135135135135
ResNet50-ImageNet,clean,Atelectasis,Gender,Male,2748,0.6652591126656848,0.037176373818813044,0.3560382916053019,0.875,0.125,0.643961708394698
ResNet50-ImageNet,clean,Atelectasis,Age,<50,1063,0.7743737957610791,0.05438480880260631,0.315028901734104,1.0,0.0,0.684971098265896
ResNet50-ImageNet,clean,Atelectasis,Age,50-70,1938,0.6526036224312086,0.043781252867696685,0.3349007314524556,0.9166666666666666,0.08333333333333337,0.6650992685475444
ResNet50-ImageNet,clean,Atelectasis,Age,70+,1554,0.5175092764378479,0.034410262520126814,0.41623376623376623,0.7142857142857143,0.2857142857142857,0.5837662337662337
ResNet50-ImageNet,clean,Atelectasis,Race,White,2532,0.6786957207125275,0.04271637960918571,0.34293717486994796,0.9090909090909091,0.09090909090909094,0.6570628251300521
ResNet50-ImageNet,clean,Atelectasis,Race,Asian,468,0.6725701943844493,0.055393479492547644,0.3801295896328294,1.0,0.0,0.6198704103671706
ResNet50-ImageNet,clean,Atelectasis,Race,Other,677,0.7491440080563949,0.03914745916894265,0.3293051359516616,1.0,0.0,0.6706948640483383
ResNet50-ImageNet,clean,Cardiomegaly,Gender,Female,2341,0.8369757545500549,0.05099953650540806,0.8160348042262274,0.7090163934426229,0.2909836065573771,0.18396519577377257
ResNet50-ImageNet,clean,Cardiomegaly,Gender,Male,3416,0.8821589082098815,0.033840463333683846,0.8454126518642647,0.7657920310981535,0.23420796890184647,0.15458734813573527
ResNet50-ImageNet,clean,Cardiomegaly,Age,<50,1411,0.9111517436857821,0.031129352585129087,0.8079161816065192,0.8768115942028986,0.12318840579710144,0.19208381839348077
ResNet50-ImageNet,clean,Cardiomegaly,Age,50-70,2272,0.8639090819752825,0.04741589898581262,0.8358702845797485,0.7371879106438897,0.26281208935611033,0.16412971542025145
ResNet50-ImageNet,clean,Cardiomegaly,Age,70+,2074,0.8035384818133895,0.05296187856520529,0.8450184501845018,0.5848214285714286,0.4151785714285714,0.15498154981549817
ResNet50-ImageNet,clean,Cardiomegaly,Race,White,3077,0.8602856610142879,0.04077819844134646,0.8357007575757576,0.7409326424870466,0.2590673575129534,0.16429924242424243
ResNet50-ImageNet,clean,Cardiomegaly,Race,Black,504,0.8373829938825148,0.05272098320781953,0.8436724565756824,0.6831683168316832,0.3168316831683168,0.15632754342431765
ResNet50-ImageNet,clean,Cardiomegaly,Race,Asian,621,0.8475612538212348,0.06493121856921022,0.7920792079207921,0.7235023041474654,0.2764976958525346,0.20792079207920788
ResNet50-ImageNet,clean,Cardiomegaly,Race,Other,967,0.8789578878869573,0.03930401818507957,0.8161290322580645,0.7809798270893372,0.21902017291066278,0.18387096774193545
ResNet50-ImageNet,clean,Consolidation,Gender,Female,2289,0.8962613282291005,0.03128409129382667,0.788293897882939,0.8660834454912517,0.1339165545087483,0.21170610211706098
