model,model_group,attribute,space,n_dirs,decode_lin_after,decode_mlp_after,drop_concept,drop_random,net_drop
ResNet50-ImageNet,clean,sex,raw,25,0.5925264158860859,0.8676845039845333,0.0006645193144122708,9.603961453217292e-05,0.0005684796998800979
ResNet50-ImageNet,clean,sex,rff,8,0.5200476190627685,0.7748745688817315,0.003729776991420031,-0.0002919618197523288,0.00402173881117236
ResNet50-ImageNet,clean,race_black_vs_white,raw,25,0.5971630576787794,0.6061197123844542,0.003807632936203209,-9.472710778735128e-06,0.0038171056469819445
ResNet50-ImageNet,clean,race_black_vs_white,rff,6,0.5046433082487493,0.5150571546238987,0.00449996450114658,0.00044344638840703164,0.004056518112739549
ResNet50-ImageNet,clean,age_bin,raw,25,0.6136044646509868,0.7674605367770222,0.009053921043221868,-0.0004079157881018647,0.009461836831323733
ResNet50-ImageNet,clean,age_bin,rff,7,0.5233293451999599,0.7244094943304181,0.016711665920526066,-0.00031169844377469945,0.017023364364300766
DINOv2-base,clean,sex,raw,25,0.7524783254543891,0.9236997569630345,0.0009397931094663692,-0.001028727896388615,0.001968521005854984
DINOv2-base,clean,sex,rff,9,0.5158361865399663,0.8989840066528697,0.00028755751790312536,0.0002293933681099647,5.816414979316066e-05
DINOv2-base,clean,race_black_vs_white,raw,25,0.6882598953429239,0.6584804869562161,0.0003387806851206987,0.00036751566578347995,-2.8734980662781272e-05
DINOv2-base,clean,race_black_vs_white,rff,5,0.5330200305765808,0.49914689981675625,0.0032622034829516977,0.00036403186957219004,0.0028981716133795075
DINOv2-base,clean,age_bin,raw,25,0.7223096425619343,0.804923907663454,0.002413314386340626,0.0005203602526440143,0.0018929541336966116
DINOv2-base,clean,age_bin,rff,9,0.5103625698636245,0.8031784541060714,0.015205760439929694,0.00013270358333346,0.015073056856596235
BiomedCLIP,clean,sex,raw,25,0.7158253925669197,0.7927480050242752,0.0011023390352835616,0.00018552353624130548,0.0009168154990422562
BiomedCLIP,clean,sex,rff,8,0.5332371611135585,0.836748931916792,0.0015722282351699145,0.00017078387984015286,0.0014014443553297617
BiomedCLIP,clean,race_black_vs_white,raw,25,0.5262300935587304,0.54713777377145,0.0008701159240968482,-0.00011035477423260165,0.0009804706983294498
BiomedCLIP,clean,race_black_vs_white,rff,6,0.5525750260342706,0.47964922679245436,0.011966920421246696,0.00020692024516826278,0.011760000176078433
BiomedCLIP,clean,age_bin,raw,25,0.6258669534189173,0.7181202449154372,0.0025784390734135522,0.00020301510250437805,0.002375423970909174
BiomedCLIP,clean,age_bin,rff,7,0.5211280527771984,0.7480181521803959,0.014889407681648792,0.00021105729910568803,0.014678350382543103
XRV-DenseNet-nih,clean,sex,raw,25,0.7540511083365219,0.8641840768513114,-0.00046966692336181115,0.00011133324585630434,-0.0005810001692181155
XRV-DenseNet-nih,clean,sex,rff,10,0.5436038076131018,0.8629850881033106,0.0506769515427125,0.0007216169125990879,0.04995533463011341
XRV-DenseNet-nih,clean,race_black_vs_white,raw,25,0.5785297008790843,0.5638594425992548,0.008602164885961572,7.495164468029891e-06,0.008594669721493543
XRV-DenseNet-nih,clean,race_black_vs_white,rff,4,0.5257117660366328,0.47351015121211937,0.0072922971476660605,0.00037493748920751634,0.006917359658458544
XRV-DenseNet-nih,clean,age_bin,raw,25,0.6869013923915622,0.71375504462758,0.0036492641199772358,-1.3432608443442184e-05,0.003662696728420678
XRV-DenseNet-nih,clean,age_bin,rff,9,0.5104304132989501,0.7161016044844011,0.025508552887689627,0.00016585422600696732,0.02534269866168266
CLIP-ViT-B16,clean,sex,raw,25,0.6868015812623156,0.8137365593158086,0.0011198044805656338,-0.0012814600789615715,0.002401264559527205
CLIP-ViT-B16,clean,sex,rff,8,0.5384832310049754,0.8066107377033329,0.0063383430531823715,0.0003495660159628544,0.005988777037219517
CLIP-ViT-B16,clean,race_black_vs_white,raw,25,0.6463576705940798,0.6052876387369361,0.004287565792892667,0.00048401695949993326,0.003803548833392733
CLIP-ViT-B16,clean,race_black_vs_white,rff,2,0.5136586599099189,0.5012759336683305,0.0028067926640279904,-0.00012821697329681303,0.0029350096373248033
CLIP-ViT-B16,clean,age_bin,raw,25,0.6896762082329021,0.7288595626384786,0.009302513218142839,-0.0010054463667764635,0.010307959584919302
CLIP-ViT-B16,clean,age_bin,rff,6,0.5326242458339083,0.7464813055323417,0.013097480615438296,0.00020347093159653885,0.012894009683841757
ConvNeXtV2-Base,clean,sex,raw,25,0.7378328737855417,0.9019020486004269,0.001165036786174456,-0.0013912413699873395,0.0025562781561617957
ConvNeXtV2-Base,clean,sex,rff,10,0.522489088084233,0.8734263292753188,0.0011877393214821952,0.00018202070801516258,0.0010057186134670327
ConvNeXtV2-Base,clean,race_black_vs_white,raw,25,0.6624754549652567,0.6861623066176213,0.0017736723425680668,-0.0001599855141158013,0.001933657856683868
ConvNeXtV2-Base,clean,race_black_vs_white,rff,5,0.535203026661423,0.4944375680610249,0.005600274579975806,-4.4052767954783076e-05,0.005644327347930589
ConvNeXtV2-Base,clean,age_bin,raw,25,0.7198734054140956,0.7734657902067649,0.0018187484951174503,-0.00021139715561759864,0.002030145650735049
ConvNeXtV2-Base,clean,age_bin,rff,10,0.5069247406938707,0.7758822425136814,0.01334197369446477,5.592920166903603e-05,0.013286044492795735
RAD-DINO,overlap,sex,raw,23,0.5409611897925664,0.9947784886173168,1.693074468311906e-06,-0.00017226010497954912,0.00017395317944786102
RAD-DINO,overlap,sex,rff,4,0.5379788159403586,0.9620764732174713,0.0009185128501285389,0.0001795667995173167,0.0007389460506112221
RAD-DINO,overlap,race_black_vs_white,raw,19,0.56912201993829,0.7795188898191113,0.001991045973115879,0.00014648461474360276,0.0018445613583722763
RAD-DINO,overlap,race_black_vs_white,rff,2,0.48859147396087077,0.48576237629226005,0.0032185071536455557,-0.00014368867197362968,0.0033621958256191855
RAD-DINO,overlap,age_bin,raw,25,0.5357818653065425,0.9065987648421894,0.004153207166754181,-0.0002477314707991063,0.004400938637553287
RAD-DINO,overlap,age_bin,rff,4,0.5396160500449789,0.8725903536833121,0.006822514296085247,-0.0002360613309920989,0.007058575627077346
CheXzero,overlap,sex,raw,25,0.688136459019384,0.8789637652224604,-0.0007702121990292854,-0.0004895617848128531,-0.00028065041421643233
CheXzero,overlap,sex,rff,6,0.5185691080614803,0.865891559179885,4.228254762148609e-05,-6.750982263610261e-05,0.00010979237025758869
CheXzero,overlap,race_black_vs_white,raw,25,0.6667980715391456,0.6825407183557853,-8.65331294633176e-05,-1.7467641209734096e-05,-6.90654882535835e-05
CheXzero,overlap,race_black_vs_white,rff,4,0.5596000008234248,0.47329365798227985,0.0050831614379001746,0.00011472442316882159,0.004968437014731353
CheXzero,overlap,age_bin,raw,25,0.7810277367196201,0.8175136099172767,-0.00029178873753783475,-0.0012427296924747866,0.0009509409549369519
CheXzero,overlap,age_bin,rff,11,0.5304691272330809,0.8245507808700652,0.04251764436723635,-5.1457542709720804e-05,0.042569101909946075
