model,model_group,label_source,finding,train_n,test_n,test_prevalence,auroc
ResNet50-ImageNet,clean,impression_fixed.json,Atelectasis,26099,4555,0.9861690450054885,0.6758911786739035
ResNet50-ImageNet,clean,impression_fixed.json,Cardiomegaly,31936,5757,0.6941115164147994,0.864428454576098
ResNet50-ImageNet,clean,impression_fixed.json,Consolidation,28886,5283,0.36229415105053947,0.8957335196780033
ResNet50-ImageNet,clean,impression_fixed.json,Edema,56686,9986,0.7581614259963949,0.8625414126531088
ResNet50-ImageNet,clean,impression_fixed.json,Enlarged Cardiomediastinum,19042,3381,0.2990239574090506,0.7808891226049323
ResNet50-ImageNet,clean,impression_fixed.json,Lung Opacity,81695,14449,0.961935082012596,0.7967121244824678
ResNet50-ImageNet,clean,impression_fixed.json,Pleural Effusion,89576,15802,0.7526262498417922,0.9074089406012342
ResNet50-ImageNet,clean,impression_fixed.json,Pneumonia,4967,910,0.6527472527472528,0.6949825256787283
ResNet50-ImageNet,clean,impression_fixed.json,Pneumothorax,55970,9925,0.2575314861460957,0.7567803497755581
ResNet50-ImageNet,clean,impression_fixed.json,Support Devices,94105,16815,0.9683615819209039,0.6746629978495955
DINOv2-base,clean,impression_fixed.json,Atelectasis,26099,4555,0.9861690450054885,0.7870181910698385
DINOv2-base,clean,impression_fixed.json,Cardiomegaly,31936,5757,0.6941115164147994,0.8865843412975722
DINOv2-base,clean,impression_fixed.json,Consolidation,28886,5283,0.36229415105053947,0.9263761761689111
DINOv2-base,clean,impression_fixed.json,Edema,56686,9986,0.7581614259963949,0.8804789880094389
DINOv2-base,clean,impression_fixed.json,Enlarged Cardiomediastinum,19042,3381,0.2990239574090506,0.8245493662539075
DINOv2-base,clean,impression_fixed.json,Lung Opacity,81695,14449,0.961935082012596,0.8266624806231972
DINOv2-base,clean,impression_fixed.json,Pleural Effusion,89576,15802,0.7526262498417922,0.9333301455329808
DINOv2-base,clean,impression_fixed.json,Pneumonia,4967,910,0.6527472527472528,0.7812673144951626
DINOv2-base,clean,impression_fixed.json,Pneumothorax,55970,9925,0.2575314861460957,0.7924787912651038
DINOv2-base,clean,impression_fixed.json,Support Devices,94105,16815,0.9683615819209039,0.7288636287026601
BiomedCLIP,clean,impression_fixed.json,Atelectasis,26099,4555,0.9861690450054885,0.8044954699006346
BiomedCLIP,clean,impression_fixed.json,Cardiomegaly,31936,5757,0.6941115164147994,0.920745276792977
BiomedCLIP,clean,impression_fixed.json,Consolidation,28886,5283,0.36229415105053947,0.9415283116422306
BiomedCLIP,clean,impression_fixed.json,Edema,56686,9986,0.7581614259963949,0.886085922829102
BiomedCLIP,clean,impression_fixed.json,Enlarged Cardiomediastinum,19042,3381,0.2990239574090506,0.8433676812447048
BiomedCLIP,clean,impression_fixed.json,Lung Opacity,81695,14449,0.961935082012596,0.8390271373349292
BiomedCLIP,clean,impression_fixed.json,Pleural Effusion,89576,15802,0.7526262498417922,0.9363774417566613
BiomedCLIP,clean,impression_fixed.json,Pneumonia,4967,910,0.6527472527472528,0.8573711801559903
BiomedCLIP,clean,impression_fixed.json,Pneumothorax,55970,9925,0.2575314861460957,0.7811931449070474
BiomedCLIP,clean,impression_fixed.json,Support Devices,94105,16815,0.9683615819209039,0.7296886738740853
XRV-DenseNet-nih,clean,impression_fixed.json,Atelectasis,26099,4555,0.9861690450054885,0.8134213911150688
XRV-DenseNet-nih,clean,impression_fixed.json,Cardiomegaly,31936,5757,0.6941115164147994,0.884425026957679
XRV-DenseNet-nih,clean,impression_fixed.json,Consolidation,28886,5283,0.36229415105053947,0.8771209190191596
XRV-DenseNet-nih,clean,impression_fixed.json,Edema,56686,9986,0.7581614259963949,0.8345561807846384
XRV-DenseNet-nih,clean,impression_fixed.json,Enlarged Cardiomediastinum,19042,3381,0.2990239574090506,0.8125547250289016
XRV-DenseNet-nih,clean,impression_fixed.json,Lung Opacity,81695,14449,0.961935082012596,0.7724008921505144
XRV-DenseNet-nih,clean,impression_fixed.json,Pleural Effusion,89576,15802,0.7526262498417922,0.8631846852564471
XRV-DenseNet-nih,clean,impression_fixed.json,Pneumonia,4967,910,0.6527472527472528,0.7668190342240976
XRV-DenseNet-nih,clean,impression_fixed.json,Pneumothorax,55970,9925,0.2575314861460957,0.6766164605734253
XRV-DenseNet-nih,clean,impression_fixed.json,Support Devices,94105,16815,0.9683615819209039,0.6434647002570604
CLIP-ViT-B16,clean,impression_fixed.json,Atelectasis,26099,4555,0.9861690450054885,0.7971172737423851
CLIP-ViT-B16,clean,impression_fixed.json,Cardiomegaly,31936,5757,0.6941115164147994,0.846773946007336
CLIP-ViT-B16,clean,impression_fixed.json,Consolidation,28886,5283,0.36229415105053947,0.9003163020880341
CLIP-ViT-B16,clean,impression_fixed.json,Edema,56686,9986,0.7581614259963949,0.8520510731671167
CLIP-ViT-B16,clean,impression_fixed.json,Enlarged Cardiomediastinum,19042,3381,0.2990239574090506,0.8009887023334044
CLIP-ViT-B16,clean,impression_fixed.json,Lung Opacity,81695,14449,0.961935082012596,0.8082540928385953
CLIP-ViT-B16,clean,impression_fixed.json,Pleural Effusion,89576,15802,0.7526262498417922,0.8977020024871296
