model,model_group,label_source,finding,n_groups,gap_maxmin,auroc_White,auroc_Asian,auroc_Other,auroc_Black
ResNet50-ImageNet,clean,impression_fixed.json,Atelectasis,3,0.0910561837832431,0.6863169510228334,0.6280777537796975,0.7191339375629406,
ResNet50-ImageNet,clean,impression_fixed.json,Cardiomegaly,4,0.04085576044249961,0.8564104451248236,0.8488045809189213,0.8782141861113693,0.8373584256688696
ResNet50-ImageNet,clean,impression_fixed.json,Consolidation,4,0.060755116007046195,0.8975093579337019,0.8939295275305694,0.893656664994515,0.8367542419266557
ResNet50-ImageNet,clean,impression_fixed.json,Edema,4,0.040105998659444086,0.8631041390002998,0.8811937630962652,0.85112593622571,0.8410877644368211
ResNet50-ImageNet,clean,impression_fixed.json,Enlarged Cardiomediastinum,4,0.025276439764763237,0.7801366639736464,0.7548602242088832,0.7622537319209878,0.7634508348794062
ResNet50-ImageNet,clean,impression_fixed.json,Lung Opacity,4,0.025321153315394085,0.7876757886735081,0.7911378608796745,0.7891152796625531,0.7658167075642804
ResNet50-ImageNet,clean,impression_fixed.json,Pleural Effusion,4,0.0229053316836757,0.9029814212753187,0.9162714521280927,0.9050592387884093,0.893366120444417
ResNet50-ImageNet,clean,impression_fixed.json,Pneumonia,4,0.0701196891438306,0.6776436586195171,0.7477633477633477,0.6804029304029304,0.6973684210526316
ResNet50-ImageNet,clean,impression_fixed.json,Pneumothorax,4,0.06303285316142826,0.7477945225899686,0.7443962768483467,0.7788619758310186,0.807429130009775
ResNet50-ImageNet,clean,impression_fixed.json,Support Devices,4,0.05873604844817848,0.6601745174241798,0.6839343547583459,0.6848512147093302,0.6261151662611517
DINOv2-base,clean,impression_fixed.json,Atelectasis,3,0.12686136067536968,0.739301781318588,0.770194384449244,0.8661631419939577,
DINOv2-base,clean,impression_fixed.json,Cardiomegaly,4,0.03461386743463257,0.8822023669335846,0.8631085458776293,0.8977224133122619,0.8915067685428593
DINOv2-base,clean,impression_fixed.json,Consolidation,4,0.05705206956578679,0.9251609108112147,0.9233671328309921,0.9350396630706218,0.877987593504835
DINOv2-base,clean,impression_fixed.json,Edema,4,0.03146561785926438,0.8782862877099716,0.902990057109988,0.8715244392507236,0.8779302458547743
DINOv2-base,clean,impression_fixed.json,Enlarged Cardiomediastinum,4,0.02240137751158422,0.8257860762695959,0.8209876543209876,0.8100429638613286,0.8324443413729128
DINOv2-base,clean,impression_fixed.json,Lung Opacity,4,0.024084044605867327,0.8185699953088779,0.8426540399147452,0.822517036463666,0.8329954834809203
DINOv2-base,clean,impression_fixed.json,Pleural Effusion,4,0.01350785375605934,0.9276034506833799,0.9411113044394392,0.9344843626015813,0.9377527052810668
DINOv2-base,clean,impression_fixed.json,Pneumonia,4,0.08754717504717502,0.7881672900374023,0.7933621933621934,0.7058150183150184,0.7646198830409358
DINOv2-base,clean,impression_fixed.json,Pneumothorax,4,0.07223906554755566,0.7873071264025132,0.7802675676042388,0.7954007934794601,0.8525066331517944
DINOv2-base,clean,impression_fixed.json,Support Devices,4,0.03933031408492793,0.7276440224298607,0.7252818261086198,0.7419977016671575,0.7026673875822296
BiomedCLIP,clean,impression_fixed.json,Atelectasis,3,0.08687010462886957,0.7968156959753598,0.8544276457883369,0.8836858006042294,
BiomedCLIP,clean,impression_fixed.json,Cardiomegaly,4,0.029244757435012536,0.9139390995446695,0.9050166537391067,0.9342614111741192,0.9231014912905683
BiomedCLIP,clean,impression_fixed.json,Consolidation,4,0.04738757021719309,0.9427034053748984,0.9380032455786743,0.9450339851049873,0.8976464148877942
BiomedCLIP,clean,impression_fixed.json,Edema,4,0.027325901642163197,0.8815114460636931,0.9037552898640042,0.8816004220719988,0.876429388221841
BiomedCLIP,clean,impression_fixed.json,Enlarged Cardiomediastinum,4,0.036741697554015795,0.8437273031443051,0.8399673619980134,0.8372147031880992,0.873956400742115
BiomedCLIP,clean,impression_fixed.json,Lung Opacity,4,0.03938942182840599,0.8293835454610826,0.8668014919589228,0.8515047447347407,0.8274120701305168
BiomedCLIP,clean,impression_fixed.json,Pleural Effusion,4,0.01247823879379728,0.9325695141900658,0.9450477529838631,0.9363316903087608,0.9372774299313261
BiomedCLIP,clean,impression_fixed.json,Pneumonia,4,0.13040212711265353,0.8634648078884734,0.8308802308802308,0.9008699633699634,0.7704678362573099
BiomedCLIP,clean,impression_fixed.json,Pneumothorax,4,0.07667020301750593,0.7725093960963584,0.7706136958792961,0.7939663898603495,0.847283898896802
BiomedCLIP,clean,impression_fixed.json,Support Devices,4,0.07723572600319006,0.7250213610429701,0.7459750249128052,0.7248641500499512,0.6687392989096151
XRV-DenseNet-nih,clean,impression_fixed.json,Atelectasis,3,0.05630449866125509,0.7978464112917893,0.7879049676025919,0.844209466263847,
XRV-DenseNet-nih,clean,impression_fixed.json,Cardiomegaly,4,0.034991278284155936,0.8828789841419376,0.8571542638134781,0.8915682811192711,0.8921455420976341
XRV-DenseNet-nih,clean,impression_fixed.json,Consolidation,4,0.04429540262755072,0.8754585595006888,0.8898983947822671,0.8720032193513889,0.8456029921547163
XRV-DenseNet-nih,clean,impression_fixed.json,Edema,4,0.03418547923660442,0.8263726784527008,0.8605581576893052,0.8336760202949574,0.8306651419858967
XRV-DenseNet-nih,clean,impression_fixed.json,Enlarged Cardiomediastinum,4,0.020923894121455233,0.8108330137072007,0.8251738328366681,0.8042499387152129,0.822008348794063
XRV-DenseNet-nih,clean,impression_fixed.json,Lung Opacity,4,0.07613352701361076,0.7639732092411682,0.8104412904475877,0.7799442487544153,0.734307763433977
XRV-DenseNet-nih,clean,impression_fixed.json,Pleural Effusion,4,0.047479651858277405,0.8610500794059899,0.8773379646996662,0.8675036841014896,0.8298583128413888
